h_1_0,h_1_1,h_1_2,h_1_3,h_1_4,h_1_5,h_1_6,h_1_7,h_1_8,h_1_9
-0.7777226,-0.37519675,-0.66741616,0.31885278,-0.16003639,0.2850931,0.69971526,-0.38025314,-0.96385825,-0.025122821
-0.7679585,-0.51328677,-0.83297926,0.29892695,-0.6325918,0.4771305,0.6378272,-0.4866264,-0.99595594,-0.22750561
-0.7908109,-0.2559626,-0.51738715,0.34561318,-0.93200535,0.9089462,-0.06260826,-0.26766568,-0.9266948,-0.35186666
0.22236848,0.5791097,0.5868625,-0.42686126,-0.5902908,0.53539383,0.67734826,0.64536256,-0.72803116,0.3260943
0.3739608,0.15806302,-0.3479352,-0.3730225,-0.9339552,0.7710067,0.45212758,0.3313018,-0.98991,-0.2514132
-0.9743519,-0.82583755,-0.89626175,0.5471586,-0.45752987,0.5076146,-0.21059123,-0.8650365,-0.92364484,-0.5395491
0.24528997,0.45294368,0.2739654,-0.4447053,-0.85172814,0.6770902,0.6119032,0.562194,-0.9659354,0.13126059
-0.815351,0.19085504,0.4862114,-0.37003598,-0.8685906,0.7248988,-0.031630807,0.17380862,-0.9083104,0.12443986
-0.7997222,-0.08882403,-0.17909189,0.3648608,-0.79656446,0.8605298,0.04950942,-0.1421046,-0.48634082,-0.15976286
-0.9743519,-0.82583755,-0.89626175,0.5471586,-0.45752987,0.5076146,-0.21059123,-0.8650365,-0.92364484,-0.5395491
0.24528997,0.45294368,0.2739654,-0.4447053,-0.85172814,0.6770902,0.6119032,0.562194,-0.9659354,0.13126059
-0.6710173,-0.63338876,-0.89948624,0.50409734,-0.9596371,0.934598,-0.37962654,-0.6209586,-0.9425137,-0.73477614
0.03432769,0.5988719,0.4347763,0.09821697,-0.6389412,0.77354264,0.8110475,0.64668936,-0.7237976,0.3946093
-0.12827225,0.8109999,0.89175266,-0.65304625,-0.81867045,0.5905822,0.8214428,0.8479248,-0.98337734,0.7094092
-0.68990564,-0.4009009,-0.53631884,-0.22053398,-0.08296271,-0.13732266,0.5086138,-0.38219932,-0.9644881,-0.10355178
0.45194983,0.17405972,-0.22022228,-0.2559047,-0.73795485,0.6468125,0.45204288,0.30506417,-0.7818672,-0.2288783
-0.8962787,0.36250106,0.5201236,0.057877477,-0.91603416,0.88011247,0.36841625,0.32599366,-0.9638592,0.36825112
0.24528997,0.45294368,0.2739654,-0.4447053,-0.85172814,0.6770902,0.6119032,0.562194,-0.9659354,0.13126059
-0.17630161,0.6811248,0.5220009,-0.13894895,-0.92982864,0.8640365,0.8461771,0.74394375,-0.99501866,0.5196399
-0.9172397,0.48998153,0.6799533,-0.05019534,-0.93810594,0.88604736,0.46127987,0.46118042,-0.986248,0.5145599
-0.59440583,-0.69794315,-0.9160053,0.57496554,0.30337808,0.20919897,0.48515397,-0.7073036,-0.4863324,-0.5173173
-0.66561496,-0.60879534,-0.86455476,0.49806485,0.15378608,0.2348294,0.56629336,-0.6177119,-0.76988024,-0.3714946
-0.9377372,-0.9342031,-0.9728294,0.24873213,-0.59396726,0.29151502,-0.69450563,-0.94333565,-0.9411328,-0.8493382
-0.083837986,0.6898451,0.6158484,-0.009644894,-0.723334,0.7841474,0.8461469,0.7306208,-0.8862913,0.53687996
-0.85810083,-0.1213591,-0.4296361,0.12146219,-0.9884494,0.9469504,0.049721684,-0.08447936,-0.9988149,-0.20598425
-0.01060598,0.7503124,0.8267891,-0.5865643,-0.7592968,0.57274497,0.7813749,0.796239,-0.9564171,0.6065716
-0.9743519,-0.82583755,-0.89626175,0.5471586,-0.45752987,0.5076146,-0.21059123,-0.8650365,-0.92364484,-0.5395491
-0.56213874,-0.8362974,-0.9818682,0.5447265,-0.6938626,0.58130014,0.2960848,-0.8158627,-0.9916573,-0.7554491
-0.12827225,0.8109999,0.89175266,-0.65304625,-0.81867045,0.5905822,0.8214428,0.8479248,-0.98337734,0.7094092
-0.7777226,-0.37519675,-0.66741616,0.31885278,-0.16003639,0.2850931,0.69971526,-0.38025314,-0.96385825,-0.025122821
-0.33639458,-0.84040225,-0.96408165,0.18434165,-0.034561213,-0.019992486,-0.000767946,-0.82611954,-0.81927717,-0.7780496
