h_2_0,h_2_1,h_2_2,h_2_3,h_2_4,h_2_5
-0.9648973,0.7754054,-0.9396473,-0.94848615,0.91860616,-0.90620404
-0.9854063,0.93902594,-0.9884557,-0.98950917,0.9613796,-0.9720164
-0.9171015,0.88478535,-0.9557249,-0.943728,0.83953136,-0.9346332
0.99995446,-0.9998772,0.99999297,0.9999893,-0.99960876,0.99997425
0.9899487,-0.98295593,0.9957898,0.99228776,-0.97238183,0.99207973
-0.9999606,0.999761,-0.9999856,-0.99997896,0.999491,-0.9999565
0.9998138,-0.9994904,0.9999617,0.9999306,-0.9988986,0.99987656
0.94749916,-0.92180485,0.9711543,0.96675444,-0.90361345,0.95471835
-0.43748358,0.42296535,-0.6947121,-0.5104933,0.47690946,-0.5295477
-0.9999606,0.999761,-0.9999856,-0.99997896,0.999491,-0.9999565
0.9998138,-0.9994904,0.9999617,0.9999306,-0.9988986,0.99987656
-0.99929345,0.99861073,-0.9998154,-0.99971366,0.99539655,-0.9995607
0.99993855,-0.99981236,0.9999863,0.99998564,-0.999445,0.9999557
0.99999815,-0.99999076,0.99999976,0.9999996,-0.9999666,0.999999
-0.9767792,0.7522274,-0.9324027,-0.96341455,0.9165786,-0.9161845
0.98948723,-0.98385054,0.9958531,0.99395657,-0.97179157,0.9920915
0.9948868,-0.98906106,0.99760056,0.9977314,-0.9831169,0.99547213
0.9998138,-0.9994904,0.9999617,0.9999306,-0.9988986,0.99987656
0.99998534,-0.9999354,0.999997,0.9999954,-0.99982333,0.9999886
0.9992354,-0.99793506,0.9997196,0.99970317,-0.99606305,0.9993615
-0.9997645,0.9941862,-0.9997029,-0.9994784,0.9986301,-0.9990236
-0.999045,0.9827331,-0.9984135,-0.9979696,0.9951981,-0.9962802
-0.9999958,0.99996287,-0.9999985,-0.9999982,0.9998648,-0.9999961
0.99998444,-0.9999399,0.9999974,0.9999968,-0.9998278,0.99998903
-0.49942926,0.40822953,-0.6199337,-0.62189084,0.4328387,-0.53740424
0.999996,-0.99998283,0.99999964,0.99999917,-0.99994385,0.99999756
-0.9999606,0.999761,-0.9999856,-0.99997896,0.999491,-0.9999565
-0.99975824,0.99858004,-0.99986506,-0.9997981,0.99791014,-0.9995478
0.99999815,-0.99999076,0.99999976,0.9999996,-0.9999666,0.999999
-0.9648973,0.7754054,-0.9396473,-0.94848615,0.91860616,-0.90620404
-0.9999484,0.99904364,-0.99993306,-0.99993277,0.9991214,-0.99985963
-0.9999773,0.9999223,-0.9999956,-0.9999931,0.99966383,-0.9999834
-0.999916,0.9997448,-0.9999811,-0.9999752,0.99916774,-0.999934
0.9531858,-0.9271492,0.96746767,0.96696115,-0.89918476,0.9552167
-0.7318219,0.21676996,-0.57184815,-0.66463053,0.62809145,-0.4741282
0.91549516,-0.88970226,0.9456043,0.9362886,-0.86128765,0.921764
-0.999995,0.99993813,-0.99999833,-0.9999963,0.9999073,-0.99999356
0.9999645,-0.9998712,0.9999938,0.99998796,-0.9996854,0.99997675
0.5777345,-0.5309684,0.63051516,0.63794893,-0.49881202,0.5968482
-0.9997605,0.9971657,-0.99975556,-0.99964744,0.99798495,-0.9993153
0.9989968,-0.9974903,0.9996636,0.9994993,-0.9952821,0.9991954
0.91549516,-0.88970226,0.9456043,0.9362886,-0.86128765,0.921764
-0.99999654,0.99998206,-0.9999992,-0.99999833,0.99988604,-0.99999774
-0.9993363,0.99840873,-0.9997995,-0.99978185,0.99625725,-0.9994338
-0.9171015,0.88478535,-0.9557249,-0.943728,0.83953136,-0.9346332
-0.99999654,0.99998206,-0.9999992,-0.99999833,0.99988604,-0.99999774
-0.999864,0.997862,-0.9998175,-0.9998464,0.99819326,-0.9996247
-0.9992396,0.9932624,-0.9992833,-0.9991113,0.9953459,-0.99803734
-0.45273364,0.41309842,-0.50575644,-0.56194377,0.33366343,-0.47185922
-0.9999958,0.99996287,-0.9999985,-0.9999982,0.9998648,-0.9999961
0.61867553,-0.5498856,0.59785134,0.6957375,-0.49509433,0.5961879
-0.99975824,0.99858004,-0.99986506,-0.9997981,0.99791014,-0.9995478
