h_1_0,h_1_1,h_1_2,h_1_3,h_1_4,h_1_5,h_1_6,h_1_7,h_1_8,h_1_9,h_1_10,h_1_11,h_1_12,h_1_13,h_1_14,h_1_15,h_1_16,h_1_17,h_1_18,h_1_19,h_1_20,h_1_21,h_1_22,h_1_23,h_1_24,h_1_25,h_1_26,h_1_27,h_1_28,h_1_29
-0.07171734,0.15417252,0.13167496,-0.16386437,0.1656697,0.18188515,-0.16345581,-0.21249337,0.09123013,-0.118196785,-0.13021123,0.103398226,-0.04240114,0.043929767,0.15124789,-0.22343963,0.00993824,-0.15646859,-0.074213065,0.18820558,-0.19525047,-0.17773767,0.1283611,0.08537327,0.1323455,-0.098323755,0.14430505,0.1376077,0.13917716,-0.03701997
-0.40309495,-0.67811865,0.022261143,0.19108933,-0.42978838,-0.7604677,0.67482626,0.40638715,-0.51919734,0.40925905,0.09742622,-0.36474812,-0.45521447,-0.277296,0.07853294,-0.22511414,-0.5207981,0.32359624,0.13388494,0.26864374,0.097957045,0.0056762826,0.08556005,-0.4380957,-0.5748682,0.24431464,-0.45089898,0.19298102,0.6888961,0.12871018
-0.06301555,0.15496746,0.089997,-0.18743421,0.20018832,0.18860461,-0.19472629,-0.23272708,0.08954083,-0.13544358,-0.0816191,0.06636957,-0.028134326,0.02227556,0.1818595,-0.24255235,-0.027051404,-0.14770286,-0.08044273,0.1440472,-0.22009422,-0.13716953,0.13588142,0.043504138,0.10845123,-0.052029297,0.14986467,0.15270828,0.10725696,-0.028549023
-0.10637595,0.16908583,0.17150857,-0.20139901,0.13232729,0.06577861,-0.0639441,-0.18287425,-0.014916654,-0.11502253,-0.080286786,0.05399525,-0.06257076,-0.001614666,0.1473718,-0.14682418,0.001691973,-0.12602499,-0.13006991,0.26101422,-0.17547487,-0.1672282,0.13821499,0.0932898,0.05365225,-0.12019727,0.06591678,0.16023684,0.15316734,-0.04862087
-0.10666798,0.16816816,0.18383457,-0.16224591,0.12192125,0.13047354,-0.09231254,-0.1679217,0.057751443,-0.117647395,-0.1421836,0.12355573,-0.07380163,0.05405367,0.1120058,-0.15625073,0.046901587,-0.14497407,-0.095228344,0.25224686,-0.14553379,-0.19216995,0.1108453,0.13822952,0.13281098,-0.1656997,0.106686056,0.1393008,0.15910788,-0.07279057
-0.08040822,0.15337741,0.17289253,-0.14010595,0.1307403,0.17514868,-0.1318534,-0.19207582,0.092918895,-0.100878365,-0.17818585,0.14014247,-0.056650672,0.065542765,0.120343395,-0.20415357,0.04690071,-0.16520976,-0.0679776,0.2316159,-0.17015356,-0.21771058,0.12082598,0.126943,0.15608694,-0.14419654,0.1387363,0.12244286,0.17081074,-0.0454856
-0.115566775,0.18445739,0.11236801,-0.2307621,0.18292226,0.09906025,-0.11661314,-0.18498762,0.019035108,-0.16859986,-0.007891147,0.032694418,-0.06250948,-0.00078167743,0.16546628,-0.14736013,-0.027049655,-0.10691063,-0.13466427,0.18667062,-0.1715416,-0.08451327,0.115969956,0.0664109,0.061256345,-0.09584737,0.08570477,0.18602495,0.08341603,-0.08316928
-0.5805262,-0.74521935,-0.23618938,0.18684156,-0.08553799,-0.5447834,0.26689205,0.5535384,-0.08469116,-0.112233154,0.037722137,-0.20899196,-0.4565159,0.22736046,0.2494973,0.06375921,-0.42360646,0.33371738,-0.0901377,0.12451959,0.3425881,0.2564134,-0.32687208,-0.34353378,-0.24713534,0.34595707,-0.48434764,0.13514356,0.23422095,-0.49203777
-0.19442779,0.15285675,0.091446646,-0.25678962,0.15705784,0.023396047,-0.040220786,-0.13427037,-0.034983534,-0.2331628,0.05269083,0.030222088,-0.098001994,0.009662297,0.13282825,-0.07309716,-0.054804787,-0.027590286,-0.14842309,0.2082877,-0.073367804,-0.036630172,0.08849867,0.09695857,0.045479864,-0.12548234,-0.02504845,0.1989473,0.08787213,-0.15806569
-0.657436,-0.9004576,-0.4202939,0.46427348,-0.41796705,-0.47490418,0.41467938,0.56838906,-0.26034966,0.2445101,0.10980354,-0.45212588,-0.69427335,0.28666314,0.29979214,-0.26015055,-0.6327669,0.51715857,0.2095051,0.033868257,0.39179128,0.44053847,-0.2732024,-0.6078362,-0.16308291,0.641812,-0.56502473,0.060898215,0.67229146,-0.43393523
