h_2_0,h_2_1,h_2_2,h_2_3,h_2_4,h_2_5,h_2_6,h_2_7,h_2_8,h_2_9,h_2_10,h_2_11,h_2_12,h_2_13,h_2_14,h_2_15
0.3901989,0.4512191,-0.6046746,0.60848314,-0.6181061,-0.5823538,-0.5731495,-0.7157034,-0.5953852,0.5024802,-0.6689632,-0.7493363,0.45632982,0.41731402,-0.63128173,0.40637547
0.5854823,0.67148745,-0.7798095,0.7400492,-0.80164295,-0.7560873,-0.69582975,-0.9013876,-0.79392755,0.6913012,-0.77257377,-0.8701863,0.53397816,0.4607196,-0.82157826,0.6001762
-0.66652495,-0.71589893,0.73318785,-0.8136784,0.8120532,0.84953827,0.81851935,0.79325783,0.71899956,-0.8691368,0.8720478,0.8687447,-0.8448691,-0.60176075,0.78082633,-0.50756097
-0.5118304,-0.58777076,0.5233579,-0.61296505,0.5940736,0.7171085,0.5673421,0.49969438,0.34949496,-0.68004525,0.69840133,0.6632825,-0.7159459,-0.42359352,0.5720053,-0.3414559
-0.500774,-0.5026818,0.4043016,-0.6711031,0.69097817,0.7228749,0.647889,0.58713675,0.510963,-0.7077474,0.7571111,0.73992854,-0.7596377,-0.47362754,0.51635474,-0.31127694
-0.3782833,-0.3631727,0.23424721,-0.38122994,0.42798173,0.48888928,0.44262072,0.39300928,0.28028673,-0.52229583,0.5031371,0.5190122,-0.5247154,-0.284539,0.326639,-0.13978527
-0.12686513,-0.1404617,0.018320087,-0.12710041,0.22501656,0.25517184,0.1584603,0.0030071938,0.09344254,-0.2446229,0.24923445,0.12440092,-0.3119577,-0.16622974,0.0600527,-0.04766733
0.4836401,0.60191226,-0.7106405,0.77477086,-0.8013762,-0.7542606,-0.68792886,-0.8395866,-0.77645755,0.60012984,-0.8029771,-0.84043986,0.621869,0.5257123,-0.7980888,0.5747248
0.69298995,0.79904395,-0.8679354,0.85079783,-0.9018707,-0.87575954,-0.86511624,-0.9432286,-0.8659507,0.833271,-0.91715854,-0.9458636,0.7369635,0.73674756,-0.8948969,0.6696709
-0.29720712,-0.36359555,0.3129238,-0.2932065,0.40638268,0.48995236,0.3543715,0.35007808,0.34246543,-0.50146234,0.44443116,0.38018537,-0.46718705,-0.23062289,0.3889586,-0.24217746
