h_3_0,h_3_1
0.9999571,-0.9999607
0.9999975,-0.99999803
-0.99999964,0.9999997
-0.9999786,0.99998415
-0.9999905,0.9999921
-0.9994167,0.99942106
-0.9238389,0.9349244
0.9999967,-0.9999979
0.9999997,-0.99999976
-0.9987318,0.99889714
-0.99464333,0.99523
1.0,-1.0
0.9999951,-0.9999963
-0.9926762,0.99250436
1.0,-1.0
0.9999998,-1.0
-0.999168,0.99920785
-0.7435907,0.7731827
-0.99997663,0.9999762
0.9999998,-0.99999964
-0.99999964,0.99999976
0.99992937,-0.99993587
0.999895,-0.9998983
-0.8045053,0.81876457
-0.99989015,0.9998942
-0.5206778,0.5971109
0.573038,-0.55904245
0.9999907,-0.99999297
-0.99990696,0.9999198
0.99999905,-0.9999992
-0.71408904,0.7453822
0.9999207,-0.9999305
-0.9999977,0.9999981
-0.99975145,0.9997685
-0.9999812,0.99998444
0.99999946,-0.9999997
-0.99946433,0.99944586
-0.9999971,0.99999785
-0.6417898,0.68336165
0.92069006,-0.8694272
-0.9914488,0.9918733
-0.99998784,0.99998826
-0.9759531,0.9791744
-0.99367905,0.9963245
-0.9993679,0.99935263
-0.9999935,0.9999951
-0.99994826,0.9999517
-0.9999605,0.99997014
-0.9514271,0.9446165
0.92433316,-0.9106683
-0.9999909,0.9999912
-0.9999936,0.99999505
0.9999984,-0.999999
0.9999999,-0.9999999
0.99995905,-0.99996066
-0.99994934,0.99995345
-0.9999838,0.9999839
-0.99990505,0.99991536
-0.99999493,0.99999547
-0.97282237,0.9763669
-0.9998945,0.9999025
-0.9997496,0.99978554
-1.0000001,1.0
-0.9997259,0.9997283
-0.9737859,0.97773457
-0.9999999,0.99999976
-0.99999845,0.9999988
-0.9999985,0.9999989
-0.9935106,0.99396497
-0.9999697,0.9999819
-0.9924977,0.99323815
0.9999999,-1.0
0.99999976,-1.0
-0.9999312,0.9999329
0.99999607,-0.9999975
-0.99999714,0.9999974
-0.99999356,0.9999949
-0.9996176,0.99969876
-0.97840667,0.98693097
0.99195725,-0.99032915
0.9999998,-0.9999999
-0.99941117,0.999397
-0.9999989,0.9999994
0.99991935,-0.99990904
0.99996704,-0.9999729
-0.9988763,0.99879724
0.9927161,-0.9887441
-0.59056234,0.6797675
0.4868961,-0.4306284
-0.99578387,0.9970742
0.9999999,-1.0
0.8498355,-0.7813803
-0.99971396,0.9997349
-0.9991613,0.9991208
0.9994906,-0.9992827
0.8580421,-0.87088174
-0.7223678,0.7275428
-0.999882,0.99989283
-0.9999966,0.9999973
-0.98586065,0.986437
0.9999999,-1.0000001
-0.8731347,0.8912518
-0.99991035,0.9999305
-0.99252725,0.9938304
-0.99997514,0.9999781
-0.99977726,0.9998029
-0.9995505,0.9995483
-0.9999814,0.999986
0.99999905,-0.99999934
-0.99999243,0.99999315
0.9999998,-1.0
-0.9999999,0.9999998
-0.999993,0.9999937
0.9999998,-1.0
0.9999999,-0.99999994
0.20111044,-0.069004506
0.99989736,-0.99984175
-0.999998,0.9999984
-0.9995225,0.99957454
1.0,-1.0
-0.6399445,0.7218343
0.98673624,-0.981548
0.9999994,-0.99999964
0.99999964,-0.9999997
-0.9801353,0.9809566
0.33226123,-0.24736635
-0.99979705,0.99981683
-0.9999318,0.9999351
-0.9999858,0.99998784
-0.9994646,0.99949944
-0.99998146,0.99998456
0.99997336,-0.9999653
-0.99998075,0.99998206
-0.9897265,0.99025166
0.9999998,-1.0
0.99983764,-0.9998393
1.0,-1.0
0.99999815,-0.9999988
-0.9949255,0.9952889
0.99999017,-0.99999255
-0.94765,0.9583472
-0.9963534,0.996577
-0.21719849,0.28488845
-0.9061875,0.9133199
0.99788356,-0.9978475
-0.99997836,0.9999829
-0.99988544,0.99988973
-0.99999875,0.9999989
0.8277366,-0.77824104
-0.97804964,0.97848475
-0.99988335,0.9998776
-0.99809283,0.9981378
0.9799373,-0.97864014
-0.9999966,0.99999774
-0.9999953,0.9999964
-0.9999821,0.99998784
-0.7414985,0.74736327
0.9999999,-1.0
-0.9734911,0.9792868
-0.999998,0.99999875
0.9999999,-1.0
0.9957999,-0.99349254
0.5609992,-0.51454824
-0.99996936,0.99997807
-0.89659095,0.9155405
0.99998105,-0.9999833
-0.9999996,0.99999976
-0.99999946,0.99999964
-0.99999547,0.99999624
-0.9999937,0.99999416
-0.99397266,0.9942573
0.99999195,-0.9999923
-0.9999148,0.9999169
-0.99785113,0.9979712
-0.9886173,0.99346125
0.99999994,-1.0
-0.99999744,0.9999982
0.9999999,-1.0
0.9999999,-0.99999994
0.99999833,-0.99999905
0.9999345,-0.9999257
-0.9960236,0.99618727
0.99999994,-1.0
0.9999997,-0.99999976
0.99999535,-0.9999963
-0.9999937,0.9999948
-0.9999889,0.9999916
0.99999666,-0.9999977
-0.9999931,0.9999936
-0.99983853,0.9998501
-0.7807272,0.7614322
-0.9998879,0.99990064
0.99868387,-0.9985941
0.99999976,-0.9999999
-0.99999577,0.99999654
-0.99998784,0.99998784
-0.9999993,0.9999995
0.99999976,-1.0
-0.9999975,0.9999981
-0.99999934,0.99999964
-0.99998134,0.999983
0.99999976,-1.0
-0.99755615,0.9976807
-0.99959236,0.99961853
0.99999964,-0.99999976
-0.9999989,0.9999993
-0.9562433,0.95685613
-0.9999998,0.9999999
-0.9999969,0.99999803
0.9988251,-0.99867696
0.998906,-0.9984771
-0.9999999,0.9999999
0.9999999,-0.99999994
0.9999973,-0.9999982
-0.97348464,0.9784635
0.9960955,-0.9957904
-0.9999997,0.9999997
0.9999999,-0.9999999
0.99992204,-0.99993116
-0.995338,0.9963384
-0.9999207,0.9999295
0.99999994,-1.0
-0.8987228,0.91770476
-0.9999006,0.9999129
-0.9997579,0.9997711
-0.99998206,0.9999834
-0.9999835,0.99998605
0.991805,-0.990869
-0.999038,0.9991029
-0.9999993,0.9999995
-0.9999571,0.99995565
-0.9999343,0.9999399
0.99999994,-1.0
-0.99999696,0.99999785
-0.9997203,0.99969447
-0.99974394,0.99975306
-0.999975,0.99997747
-0.9997228,0.99974084
0.9998169,-0.99978
0.9999995,-0.9999997
0.35836026,-0.29588136
-0.9606646,0.96343774
0.99987555,-0.999874
0.9976545,-0.9970602
-0.99999535,0.99999636
0.9999994,-0.9999997
-0.9999962,0.9999969
-0.999983,0.9999851
-0.9998339,0.99985534
0.9999749,-0.99997705
-0.99981403,0.9998847
0.9999999,-1.0
-0.9999848,0.99998605
-0.99748325,0.9975611
-0.9998637,0.99987155
-0.9995504,0.99950916
0.9999997,-0.99999994
0.9999946,-0.99999535
-0.9987162,0.9990153
-0.9999997,1.0
-0.9839902,0.98280174
-0.99982125,0.9998174
0.9999231,-0.9999298
-0.9988193,0.9987636
-0.99998885,0.9999913
0.9999993,-0.9999997
0.9999992,-0.9999997
0.9999995,-0.99999964
-0.9999973,0.9999976
0.62243557,-0.5840358
0.9993007,-0.9991637
0.9999999,-1.0
-0.9999982,0.9999982
-0.9999999,0.9999998
-0.9999987,0.9999991
-0.9979009,0.99788344
-0.9999985,0.9999988
-0.9999548,0.9999565
-0.9999856,0.99998623
0.99997365,-0.9999753
-0.999982,0.9999843
0.99999994,-1.0
0.7535118,-0.72432727
0.91827416,-0.9046782
0.9999983,-0.9999988
-0.9999972,0.99999785
-0.9999993,0.99999964
1.0,-1.0
-0.99999505,0.9999962
-0.99999946,0.99999964
-0.99999726,0.99999774
-0.9999988,0.9999992
-0.99998397,0.99998665
-0.9999021,0.99991137
-0.9999989,0.9999993
1.0,-1.0
0.9999904,-0.99999225
-0.7449214,0.72930557
-0.9994414,0.999415
-0.9990627,0.99913716
-0.8386101,0.8705996
0.9999999,-1.0
-0.99999917,0.99999946
-0.99998355,0.99998754
-0.9999798,0.99998415
-0.9995929,0.9995629
0.9999993,-0.9999995
-0.9999996,0.9999998
-0.9999267,0.9999354
-0.99983823,0.9998331
0.9998997,-0.9999137
-0.9999919,0.9999938
0.9946225,-0.99439716
-0.99999964,0.99999976
-0.99999654,0.99999696
0.9577156,-0.9385553
0.9999963,-0.99999756
0.9999458,-0.9999514
1.0,-1.0
0.9999067,-0.99992055
-0.9999018,0.9999193
-0.9999991,0.9999995
-0.9998212,0.99985343
-0.9998671,0.99986976
-0.9999801,0.99998313
0.99997646,-0.9999795
-0.99988866,0.99989635
-0.9999925,0.9999933
-0.99999696,0.9999979
-0.9999995,0.9999998
0.999918,-0.99990636
0.9974671,-0.99706745
-0.9999996,0.9999997
-0.99990153,0.999907
-0.92808884,0.9394071
0.9999999,-1.0
-0.99996966,0.9999854
-0.99838436,0.99831676
-0.9999995,0.9999996
0.9999996,-0.9999998
-0.99675864,0.9970299
-0.99982464,0.999884
0.9895783,-0.9900764
-0.9999958,0.9999972
-0.99999833,0.99999875
0.9999996,-0.9999998
-0.99877167,0.9988543
0.99969506,-0.9996737
-0.99977815,0.9997972
-0.9999693,0.99997634
-0.9999942,0.9999959
-0.99985516,0.999867
0.9936901,-0.99178606
0.9999998,-0.99999994
-0.9999403,0.99994403
-0.9980855,0.99802524
