h_1_0,h_1_1,h_1_2,h_1_3,h_1_4,h_1_5,h_1_6,h_1_7,h_1_8,h_1_9,h_1_10,h_1_11,h_1_12,h_1_13,h_1_14,h_1_15,h_1_16,h_1_17,h_1_18,h_1_19,h_1_20,h_1_21,h_1_22,h_1_23,h_1_24,h_1_25,h_1_26,h_1_27,h_1_28,h_1_29,h_1_30,h_1_31,h_1_32,h_1_33,h_1_34,h_1_35,h_1_36,h_1_37,h_1_38,h_1_39
-0.26694807,0.67790556,0.67137814,0.98663914,0.9948568,0.9999286,0.37623045,-0.9974089,-0.94566846,0.9999999,-0.9999864,-0.99995255,-0.9641422,-0.5068615,-0.9998029,-0.99616235,0.99999183,-0.9641516,0.9843441,-0.97459227,-0.9879518,-0.81052023,0.42793244,0.556865,0.5234408,0.69684315,-0.94881785,-0.9999931,-0.9968989,0.82994086,-0.86828715,-0.993649,0.48048675,-0.99352235,-0.99278104,-0.65860724,-0.16882914,-0.9856026,-0.08511214,0.8359424
-0.096110255,0.98361236,0.74668354,0.8779985,0.99949265,0.9999435,0.49704054,-0.94062257,-0.9991954,1.0,-0.999981,-0.99986035,-0.9954025,-0.9860616,-0.9864756,-0.9989647,0.99988776,-0.9469692,0.9909089,-0.918227,-0.9868295,-0.97031945,-0.63966084,-0.8151759,-0.102256335,0.95372397,-0.98040056,-0.99999267,-0.98492265,0.9907525,-0.16135065,-0.9764967,-0.8665798,-0.96941787,-0.8800521,-0.43948835,0.68993247,-0.934614,-0.60748255,0.85958534
0.4945154,0.9999987,-0.99948776,-0.9999697,0.99999994,0.9999999,0.9995665,-0.88281304,0.97021514,0.99999774,-0.99991125,-0.9997938,-0.97424483,0.9939036,1.0,0.3642968,0.99806434,-0.7051269,0.9999916,-0.9899073,-0.9999978,-0.99999964,0.926693,-0.998665,0.6908775,-0.99996406,0.999922,-0.9383312,0.9997581,0.9999991,0.9999814,-0.98815036,-0.7307107,-0.874131,-0.9999352,-0.9999914,0.3408683,-0.9958048,0.9541631,1.0
-0.10615781,0.9999979,0.08379523,0.68428195,0.9999999,0.99999994,0.99868584,-0.9999978,0.035490196,1.0,-0.9999989,-0.9999932,-0.99998844,0.011975639,-0.99883246,0.023915414,1.0,-0.99878097,0.99996203,-0.8844214,-0.9999995,-0.99996454,0.9580078,0.78144705,0.98321944,-0.86155087,0.65950984,-1.0,-0.9791922,0.9999069,0.5276251,-0.99826306,0.99904734,-0.9999402,-1.0,-0.9975005,-0.4092245,-0.9999998,0.491173,1.0
-0.73794615,1.0,-0.9894369,-0.9998311,1.0,1.0,0.9997585,-0.99992645,0.583314,1.0,-0.99999565,-0.9999966,-0.9998974,0.9821687,0.9999993,-0.93739724,0.9999383,-0.9957276,0.9999973,-0.8440433,-1.0,-1.0,0.99974424,-0.9997068,0.96132386,-0.9878468,0.99995273,-0.9999873,0.9886925,0.99999964,0.99959964,-0.99918336,0.96338093,-0.8742506,-0.99999905,-0.99984056,0.8655169,-0.99999493,0.99917954,1.0
-0.8154918,1.0,-0.8732514,-0.9934408,1.0,1.0,0.99972886,-0.9999998,-0.8468117,1.0,-1.0,-0.99985474,-0.9999634,0.02676896,0.9997472,-0.9923599,0.99281514,-0.99999136,0.9999985,-0.9998231,-0.99999994,-1.0,0.95105267,-0.9595888,-0.17373273,-0.99959856,0.9058456,-0.9998978,0.977828,0.9999979,0.99801743,-0.99994147,0.15055692,-0.99998283,-1.0,-0.99974376,-0.92325246,-0.99999964,0.12692463,1.0
0.050414156,0.9999879,-0.99678546,-0.99809086,0.99999815,0.99999905,0.99946946,-0.80674577,0.7222746,0.9999646,-0.9998739,-0.9993844,-0.9992665,-0.25333017,0.99999094,-0.23513979,0.99999183,-0.87941176,0.99996537,-0.9099588,-0.999214,-0.9999989,0.837402,-0.99516606,0.97712606,-0.99807286,0.9995197,-0.99884367,0.97807974,0.9998408,0.99971193,-0.82677466,0.7519084,-0.9749915,-0.99998444,-0.9992402,-0.7164454,-0.9994829,0.8914806,1.0
-0.9482485,0.9999811,-0.9956684,-0.7218108,0.9999994,1.0,0.99592304,-0.8919814,-0.7149424,1.0,-0.9999999,-0.9999999,-0.99931055,0.66581213,0.8600845,-0.91416186,0.99865675,-0.9996326,0.99999976,-0.9999949,-0.9999843,-0.99996775,-0.29866737,-0.996007,-0.90185624,-0.99943465,0.9030994,-0.99995625,0.9736971,0.9999987,0.9840749,-0.9977125,-0.981984,-0.99994487,-0.9999552,-0.9998887,-0.87287575,-0.99997014,-0.93882686,0.9999989
0.8835451,0.9999995,-0.99355686,-0.9995272,0.99999976,1.0,0.999873,-0.9995173,-0.08624823,0.99999976,-0.99996936,-0.9963704,-0.99785626,0.73235893,0.99740946,0.8359474,0.99591845,-0.9999068,0.9999993,-0.9999985,-0.99999356,-0.99992657,0.10445228,-0.9260119,-0.9934276,-0.99937266,0.09550554,-0.69205666,0.99593765,0.9999968,0.9999708,-0.98695856,-0.8116003,-0.9999999,-0.9999998,-0.99997634,-0.991619,-0.99994755,-0.9979979,0.9999974
-0.88269633,0.9999998,-0.9330983,-0.7459692,1.0,1.0,0.9940047,-0.99999785,-0.9739828,1.0,-0.9999999,-0.99997747,-0.9999796,-0.74112296,0.9780489,-0.98820037,0.9997784,-0.9997742,0.9999989,-0.99957645,-0.9999985,-0.9999986,0.7117749,-0.829609,0.6472546,-0.9912576,0.37728706,-0.9999979,0.8081906,0.9999919,0.900326,-0.9930491,0.21035354,-0.9999212,-0.99999976,-0.998741,-0.7845502,-0.99999654,0.2874907,1.0
