h_2_0,h_2_1,h_2_2,h_2_3,h_2_4,h_2_5,h_2_6,h_2_7,h_2_8,h_2_9,h_2_10,h_2_11,h_2_12,h_2_13,h_2_14,h_2_15,h_2_16,h_2_17,h_2_18,h_2_19,h_2_20,h_2_21,h_2_22,h_2_23,h_2_24,h_2_25,h_2_26,h_2_27
-0.118205324,-0.27720308,-0.82054883,0.9996427,0.8921949,-0.46938795,-0.99993134,-0.555627,-0.98422486,0.95069826,-0.60822076,-0.9994078,0.93646616,-0.67731124,-0.9375669,-0.99860114,-0.961836,0.57442826,-0.73785955,0.9980756,0.9947383,0.39881223,0.97741205,-0.9202329,0.80370414,-0.8625026,-0.93708634,0.9284801
-0.76307553,-0.38054898,-0.53507936,0.96952814,0.9737801,0.9430515,-0.99707353,0.2880946,-0.8780433,0.97810566,-0.58282125,-0.9999985,0.8537171,-0.3767642,-0.5015389,-0.99982274,-0.98746985,0.76911044,-0.9301112,0.98506457,0.9018086,0.9935261,0.9990935,-0.9413174,0.005609431,-0.93623215,-0.78768194,0.9777803
-0.9999987,-0.99988407,-0.99996495,-0.9692125,-0.7630592,0.99999976,-0.9955826,-0.9999912,0.9976355,-0.80801505,0.9999266,-0.99875283,0.99999726,0.99325216,0.9998912,-0.99994576,-0.9318957,-0.9300736,-0.7698059,-0.9999742,0.1417323,0.98814607,0.9999971,0.99960124,-0.98719937,-0.99986935,-0.9993338,0.9838451
-0.9978916,-0.99735075,-0.9998604,0.9961298,-0.796881,0.9343469,-0.9999234,-0.9979289,0.6188685,0.91959614,0.99792194,-0.9828851,0.99995375,0.9505491,0.9890837,-0.9994349,-0.99608505,0.9083334,-0.948626,0.6495311,0.9839708,-0.76061594,0.98406583,0.7140006,-0.52312857,-0.98656213,-0.9990406,0.991822
-0.9999621,-0.99989486,-0.99992955,-0.9970104,-0.800817,0.99999344,-0.52946484,-0.99999714,0.9998346,-0.9170991,0.9999779,0.6341114,0.99999905,0.9995458,0.99869037,-0.9998173,-0.9670737,-0.91974014,-0.49597707,-0.9999637,-0.93083143,0.9733178,0.99957216,0.99999905,-0.99843496,-0.9999849,-0.9982318,0.9871861
-0.98977643,-0.9978259,-0.9999414,-0.9957886,-0.7826101,0.9855302,0.98240733,-0.9999919,0.9999771,-0.65968066,0.9997281,0.99912226,0.9999997,0.9998481,0.9351012,-0.99944025,-0.99286866,-0.1559405,-0.88328373,-0.9989102,-0.9979271,0.97679657,0.89115274,0.9999994,-0.99544233,-0.99976915,-0.9985962,0.9206491
-0.99998856,-0.99957764,-0.9999388,-0.9621755,-0.77027655,0.9999938,-0.9839333,-0.9999874,0.9988754,-0.41803685,0.99973226,-0.7464701,0.9999989,0.99743766,0.9995156,-0.99987495,-0.9856109,-0.82141125,-0.82291514,-0.9999424,-0.10877462,0.9080419,0.9998887,0.9998779,-0.9853,-0.99993396,-0.99914026,0.9919149
-0.99999976,-0.99997324,-0.9999664,-0.97496355,-0.82076824,1.0,-0.99623966,-0.9999891,0.9973613,-0.8453194,0.99996364,-0.99997467,0.99998885,0.99443614,0.99997276,-0.9999703,-0.883222,-0.90163106,-0.8643626,-0.9999624,0.105893016,0.99874645,0.99999964,0.99910074,-0.99267685,-0.99986196,-0.99955404,0.98373294
-0.9999686,-0.9996482,-0.999891,-0.8874071,-0.9061424,0.9999669,-0.99406856,-0.99996877,0.99875844,0.67999727,0.9993969,-0.07949458,0.9999985,0.99880797,0.99966073,-0.9995611,-0.99660397,-0.36122122,-0.92006,-0.99986434,0.24524663,0.35565585,0.9995234,0.9997795,-0.98129094,-0.9999804,-0.99841326,0.99576044
-0.99920607,-0.9889863,-0.99976206,-0.9764438,-0.5930175,0.9990534,0.5711153,-0.9999874,0.9997864,-0.47104633,0.99858266,0.95869654,0.9999995,0.9989361,0.96694285,-0.9998134,-0.9799732,-0.89906824,-0.8564492,-0.99968344,-0.93405837,0.985849,0.98207116,0.99999034,-0.9911441,-0.9997392,-0.99886346,0.983544
