h_3_0,h_3_1,h_3_2,h_3_3,h_3_4,h_3_5,h_3_6,h_3_7,h_3_8,h_3_9,h_3_10,h_3_11,h_3_12,h_3_13,h_3_14,h_3_15,h_3_16,h_3_17,h_3_18,h_3_19,h_3_20,h_3_21,h_3_22,h_3_23,h_3_24,h_3_25
-0.9188223,0.95596594,0.99701494,-0.99087685,-0.9535301,0.99944544,0.9982553,0.9999899,-0.9436118,-0.9867014,-0.99968964,-0.9927203,-0.999154,0.9997961,0.99881953,-0.9407262,0.8962838,0.983145,-0.9743798,0.9986795,-0.9922182,0.8404125,-0.96765894,0.70533043,0.06638034,0.45505783
0.84757656,0.7050814,0.9999172,-0.95070547,-0.80209434,0.9982377,0.9988691,0.9999805,0.74655986,-0.99224895,-0.9983759,-0.8359141,-0.95891976,0.9981243,0.9145555,-0.99095476,0.747063,0.9382308,-0.211414,0.94012326,-0.73005176,0.28765115,0.5874031,0.28619447,-0.7577265,-0.8367933
-0.9999772,0.99998283,0.9964845,0.98477626,0.9950946,-0.9771291,-0.7634461,0.34362465,-0.9999942,0.5664253,0.9385979,0.9984447,0.9999996,-0.99994034,-0.9999999,-0.9977287,-0.80338603,0.99809897,0.99995625,-0.99999267,0.99997187,-0.9967537,-0.9999946,0.9987876,0.97426146,0.9969415
-0.9998697,0.99998224,0.99996525,-0.28628758,0.77453923,0.95648885,0.7878384,0.99492764,-0.9999986,-0.81143206,-0.8460586,0.9489647,0.9939162,-0.99705595,-0.98152035,-0.9999393,-0.22637796,0.992904,0.9996383,-0.98784566,0.9998777,-0.68467724,-0.99999243,0.99334,0.9508442,0.9965508
-0.99998933,0.9999951,0.9837009,0.99697953,0.9866222,-0.99691576,-0.95734984,-0.5761274,-0.9999997,0.85754097,0.9863412,0.99982995,0.9999999,-0.9999779,-1.0,-0.98896736,-0.89743817,0.99760765,0.99997205,-0.9999978,0.9999943,-0.9944791,-0.9999999,0.9993946,0.994862,0.99926466
-0.999956,0.9999893,0.99780184,0.9997252,0.75647587,-0.9996963,-0.9653755,-0.4979623,-0.99999976,0.6537609,0.947598,0.9999904,0.9999999,-0.999957,-1.0,-0.99846977,-0.52309096,0.9988232,0.9999964,-0.9999993,0.9999994,-0.94763774,-0.99999845,0.99936163,0.99604493,0.9962048
-0.9999789,0.99999076,0.99797976,0.9875747,0.9897143,-0.9820632,-0.76341915,0.6094524,-0.99999684,0.3482536,0.9200135,0.99935544,0.9999997,-0.9999381,-0.9999999,-0.99861395,-0.7843091,0.99835503,0.9999752,-0.99999446,0.9999893,-0.9946529,-0.99999607,0.99901855,0.98197126,0.997858
-0.99997103,0.99998087,0.996637,0.9844162,0.99499464,-0.977918,-0.7773381,0.34199527,-0.9999925,0.5685891,0.9409237,0.99856913,0.9999997,-0.9999442,-1.0,-0.9980332,-0.80020046,0.9978417,0.99996614,-0.9999937,0.9999772,-0.9970031,-0.9999937,0.99873805,0.9716345,0.996726
-0.99999297,0.9999993,0.99936694,0.9503517,0.96262926,-0.8783383,-0.6224467,0.8474486,-0.9999997,-0.46147153,0.88371164,0.999402,0.9999986,-0.9998861,-0.9999989,-0.9996563,-0.82001483,0.9985368,0.9999916,-0.99999094,0.9999977,-0.97983444,-0.99999905,0.99820346,0.9838917,0.9991602
-0.9999827,0.99999434,0.9942869,0.99957573,0.9282348,-0.9994685,-0.9772541,-0.5898855,-1.0000001,0.59836954,0.96946824,0.9999695,0.9999999,-0.9999737,-1.0,-0.99551636,-0.69120175,0.99874574,0.99999124,-0.99999815,0.99999803,-0.9827745,-0.9999993,0.9994615,0.99775314,0.9980088
