h_1_0,h_1_1,h_1_2,h_1_3,h_1_4,h_1_5,h_1_6,h_1_7,h_1_8,h_1_9,h_1_10,h_1_11,h_1_12,h_1_13,h_1_14,h_1_15,h_1_16,h_1_17,h_1_18,h_1_19,h_1_20,h_1_21,h_1_22,h_1_23,h_1_24,h_1_25,h_1_26,h_1_27,h_1_28,h_1_29,h_1_30,h_1_31,h_1_32,h_1_33,h_1_34,h_1_35,h_1_36,h_1_37,h_1_38,h_1_39,h_1_40,h_1_41,h_1_42,h_1_43,h_1_44,h_1_45,h_1_46,h_1_47,h_1_48,h_1_49,h_1_50,h_1_51,h_1_52,h_1_53,h_1_54,h_1_55,h_1_56,h_1_57,h_1_58,h_1_59,h_1_60,h_1_61,h_1_62,h_1_63,h_1_64,h_1_65,h_1_66,h_1_67,h_1_68,h_1_69,h_1_70,h_1_71,h_1_72,h_1_73,h_1_74,h_1_75,h_1_76,h_1_77,h_1_78,h_1_79,h_1_80,h_1_81,h_1_82,h_1_83,h_1_84,h_1_85,h_1_86,h_1_87,h_1_88,h_1_89,h_1_90,h_1_91,h_1_92,h_1_93,h_1_94,h_1_95,h_1_96,h_1_97,h_1_98,h_1_99
-1.0,0.9999816,1.0,-0.99901,-0.5364253,0.7866228,0.99975324,-1.0,0.99996495,0.9999403,0.99957794,0.9999381,-0.9999167,-0.9999397,0.99989,0.93482184,-0.83516115,0.9999871,0.9999992,-0.9997048,-0.9999986,-0.80183166,0.9996997,0.55547994,0.999966,-0.9597475,0.9999999,-1.0,0.9998065,-0.99999064,0.9991238,-1.0,-0.8366265,-0.60526544,0.9999815,-0.75870967,-0.9985281,0.99996716,1.0,0.9999996,-0.99980235,0.99980617,-0.9998309,-0.99988025,-0.8463569,0.99998635,0.99965405,-1.0,-0.9994316,1.0,-0.9999999,-0.99970365,-1.0,-0.9997945,-0.9999988,0.9999542,0.99997276,0.717114,0.9997045,-0.87014115,0.99855065,-0.9999908,-0.8091171,-0.99996567,0.81135905,-0.84340906,-0.6008884,0.9999852,0.99998313,0.96392643,-1.0,-0.774942,-0.9999999,-0.77199394,-1.0,-0.99995756,-1.0,-0.99999976,-0.99997675,-0.9999713,-0.8332337,0.9999771,-0.99993193,-0.7894951,-0.90307117,-0.9999942,-0.9999994,0.9999932,-0.36978704,-0.9993821,0.999985,-0.999811,1.0,1.0,-0.99999964,-0.57825357,-0.9999957,1.0,-0.68252563,0.99990886
-1.0,0.9999432,1.0,-0.98707247,-0.8899144,0.9391327,0.99993235,-1.0,0.99994725,0.99986506,0.9994496,0.9999799,-0.9997098,-0.99975085,0.99993384,0.9970853,-0.92969626,0.99998045,0.99999845,-0.99983597,-0.99999547,-0.99094975,0.99907714,-0.27305672,0.9999398,-0.860038,0.99999976,-1.0,0.99953103,-0.99997485,0.9992611,-1.0,-0.94315875,-0.8371162,0.99995863,-0.94454134,-0.99462074,0.99995446,1.0,0.99999785,-0.9977739,0.9997416,-0.9996307,-0.9997563,-0.9063275,0.99998397,0.9692281,-1.0,-0.9994348,1.0,-0.9999999,-0.99929893,-1.0,-0.99952215,-0.9999991,0.99999124,0.99995893,0.9926151,0.99560463,-0.942612,0.9993545,-0.9999978,-0.7371166,-0.9998818,0.90008783,-0.9793937,-0.99273753,0.9999977,0.9998758,0.98960984,-0.9999999,-0.9984737,-0.9999979,-0.97879004,-1.0,-0.99998236,-1.0,-0.99999976,-0.9999851,-0.99997073,-0.9694359,0.9999224,-0.99999666,-0.9140042,-0.99474365,-0.9999797,-0.99999964,0.99995744,-0.906272,-0.99952894,0.9999755,-0.9998699,1.0,1.0,-0.9999994,-0.89627934,-0.99999434,1.0,-0.9679129,0.9996792
-1.0,0.99998033,1.0,-0.99878246,-0.20885277,0.31259608,0.9996399,-1.0,0.9999329,0.9999281,0.9997568,0.9999492,-0.9999675,-0.9999739,0.99989015,0.80946714,-0.78197443,0.9999916,0.99999976,-0.9997644,-0.9999869,-0.5977956,0.99971646,0.636386,0.99994785,-0.929378,1.0,-1.0,0.9997963,-0.9999856,0.9981034,-1.0,-0.5757442,-0.48528114,0.99998593,-0.6226943,-0.9985786,0.99996066,1.0,0.9999992,-0.9997781,0.9999203,-0.9997549,-0.99987525,-0.8054343,0.999983,0.9993246,-1.0,-0.99936515,1.0,-1.0,-0.999851,-1.0,-0.9997633,-0.9999994,0.99990964,0.9999861,0.53684527,0.9998715,-0.8065714,0.99799603,-0.99999404,-0.6682085,-0.9999476,0.5543562,-0.7315889,-0.25923654,0.9999973,0.9999868,0.9572302,-1.0,-0.5677357,-0.9999995,-0.43443072,-1.0,-0.9999543,-1.0,-0.99999964,-0.9999695,-0.9999857,-0.44612497,0.99998325,-0.9999417,-0.5132528,-0.83686703,-0.99997437,-0.9999999,0.9999939,-0.47146946,-0.9997145,0.99998736,-0.9997938,1.0,1.0,-1.0,-0.35850316,-0.9999987,1.0,-0.6432804,0.99985945
-1.0,0.9999544,1.0,-0.9985893,-0.3646312,-0.16921088,0.99633497,-1.0,0.9997814,0.9999097,0.9993912,0.9998694,-0.999857,-0.99990785,0.9995664,0.15406914,-0.85988486,0.99995625,0.99999946,-0.999614,-0.9999962,-0.8488632,0.9995531,0.013271779,0.9999481,-0.89517283,0.99999905,-1.0,0.99873143,-0.9999393,0.99911636,-1.0,-0.3807736,-0.6879945,0.99994135,-0.493977,-0.99855775,0.9999103,1.0,0.99999696,-0.9996186,0.9998407,-0.99979097,-0.9993801,-0.76675016,0.9999846,0.99983656,-0.99999994,-0.999416,1.0,-0.9999991,-0.99976474,-1.0,-0.9993928,-0.99999803,0.9998882,0.9999714,0.27599663,0.999633,-0.33707097,0.9957038,-0.9999831,-0.7886763,-0.9997728,0.6936661,-0.5982524,-0.3987495,0.99993783,0.9998453,0.9293356,-0.9999999,-0.54447234,-0.99998003,-0.09384015,-0.99999994,-0.9999006,-1.0,-0.9999989,-0.9999145,-0.9999443,-0.43676406,0.9999236,-0.9995842,-0.55797946,-0.44924766,-0.99999446,-0.99999696,0.99998784,0.20302023,-0.9996614,0.99996954,-0.9998181,1.0,1.0,-0.99999964,-0.633825,-0.99997836,1.0,0.12710914,0.99973756
-1.0,0.9999765,1.0,-0.99272734,-0.91258895,0.9229022,0.99954706,-1.0,0.9999457,0.999768,0.999743,0.9999665,-0.99981385,-0.9998984,0.9997145,0.97980815,-0.9580908,0.9999852,0.99999946,-0.9997913,-0.99999666,-0.8212996,0.99952716,-0.42943347,0.9999204,-0.962215,0.99999976,-1.0,0.9996158,-0.99996096,0.99965715,-1.0,-0.82180923,-0.68660647,0.9999718,-0.9237625,-0.99095064,0.9999521,1.0,0.99999833,-0.9986315,0.9998891,-0.999817,-0.9996499,-0.95715964,0.9999862,0.9978794,-1.0,-0.99934036,1.0,-0.99999994,-0.99950504,-1.0,-0.99966276,-0.99999905,0.99996185,0.999957,0.9557768,0.9994902,-0.89964664,0.99802756,-0.9999897,-0.60276806,-0.9999135,0.871991,-0.945432,-0.9350548,0.99999195,0.999887,0.98790085,-0.99999976,-0.9499373,-0.9999986,-0.93827605,-1.0,-0.9999524,-1.0,-0.99999976,-0.99998,-0.999935,-0.8706581,0.9999433,-0.9999812,-0.79844874,-0.9675766,-0.9999647,-0.9999991,0.99997914,-0.83876485,-0.99972713,0.99997073,-0.9998337,1.0,1.0,-0.9999994,-0.8118931,-0.99999225,1.0,-0.9166236,0.99968016
-0.99999976,0.9999617,1.0,-0.99987954,0.8105246,-0.72831744,0.99996835,-1.0,0.9997793,0.9999759,0.9980947,0.99977154,-0.9998344,-0.99997157,0.9999652,-0.72346175,0.85707086,0.99999034,0.9999994,-0.9996502,-0.9998575,-0.80993927,0.9997378,0.98455054,0.99992955,0.89740443,1.0,-1.0,0.99947613,-0.9999966,0.7648594,-1.0,-0.45615423,0.67518556,0.99998754,0.6739067,-0.99950695,0.9999638,1.0,0.9999995,-0.9999207,0.99970376,-0.9990822,-0.9998855,-0.09723456,0.9999949,0.9579234,-0.99999994,-0.9982203,1.0,-0.9999998,-0.9996293,-1.0,-0.99943525,-0.9999985,0.99998105,0.9999904,-0.57860845,0.9999673,0.4778077,0.9997039,-0.9999974,-0.19523047,-0.99994045,-0.39995405,0.30250588,0.62023246,0.99999225,0.9999976,0.1973079,-0.9999999,-0.2508057,-0.9999992,0.751167,-1.0,-0.9999877,-1.0,-0.99999964,-0.9999206,-0.9999967,0.37449163,0.99995697,-0.9997542,0.529136,-0.1971759,-0.99995404,-0.9999999,0.9999874,0.7569431,-0.9995422,0.9999883,-0.9997635,1.0,1.0,-1.0,0.7509535,-0.9999988,1.0,0.7457795,0.9996895
-1.0,0.99984735,1.0,-0.99303365,-0.7743555,0.72549075,0.9996493,-1.0,0.99985564,0.999492,0.99929774,0.9999709,-0.9994134,-0.99950904,0.9994265,0.92379546,-0.7295006,0.9999221,0.9999947,-0.99958616,-0.99998784,-0.7878149,0.99862677,-0.017977215,0.99963856,-0.77147955,0.99999875,-1.0,0.9988877,-0.99989575,0.99762243,-1.0,-0.5334487,-0.45257843,0.99987906,-0.7993137,-0.9839931,0.99983066,1.0,0.9999928,-0.9966912,0.99948794,-0.99947095,-0.9991228,-0.84225965,0.9999524,0.9827994,-0.99999976,-0.9987645,1.0,-0.99999917,-0.99877477,-1.0,-0.9993187,-0.99999523,0.99994934,0.9999249,0.9121774,0.9987963,-0.7138159,0.9969671,-0.9999815,-0.3997245,-0.9996885,0.60272837,-0.7253074,-0.8568441,0.9999641,0.9996403,0.9544997,-0.9999995,-0.882094,-0.9999886,-0.7847918,-1.0,-0.9998751,-0.9999998,-0.999998,-0.99993217,-0.9998784,-0.7127092,0.9997847,-0.9998891,-0.5937776,-0.8951476,-0.9998524,-0.9999963,0.99991935,-0.64138585,-0.9990169,0.99990845,-0.999683,1.0,1.0,-0.99999624,-0.5184364,-0.9999746,1.0,-0.7731123,0.9992227
-1.0,0.99994874,1.0,-0.9986375,-0.09047434,0.47020543,0.99984694,-1.0,0.99996144,0.9997931,0.9995166,0.99997765,-0.9998179,-0.9999116,0.99985826,0.82229227,-0.78713137,0.9999708,0.9999987,-0.9997651,-0.99999523,-0.43207946,0.99957216,0.56201583,0.9998785,-0.89281285,0.9999999,-1.0,0.9997454,-0.9999783,0.9960377,-1.0,-0.42737296,-0.34804574,0.9999705,-0.52850056,-0.9977411,0.9999265,1.0,0.9999988,-0.99958295,0.9998183,-0.9998193,-0.99977094,-0.7201777,0.99996483,0.9978318,-1.0,-0.99913013,1.0,-0.99999964,-0.999771,-1.0,-0.99968326,-0.99999815,0.99991333,0.9999461,0.60107934,0.999736,-0.3575351,0.99815905,-0.9999895,-0.26222244,-0.9998724,0.50675,-0.6912394,-0.61097306,0.9999851,0.9999598,0.9142239,-0.9999999,-0.7101983,-0.99999964,-0.61244357,-1.0,-0.9999391,-1.0,-0.99999905,-0.99997705,-0.99995875,-0.45882618,0.9999607,-0.9999586,-0.34571278,-0.8066519,-0.99996465,-0.9999993,0.99998164,-0.023249231,-0.99935853,0.99997663,-0.9997704,1.0,1.0,-0.99999976,-0.3298142,-0.99999547,1.0,-0.63540924,0.999863
-1.0,0.9999761,1.0,-0.99989617,0.7540365,-0.7832307,0.9999679,-1.0,0.9999588,0.9999324,0.99966323,0.99999565,-0.9998611,-0.99990845,0.99990755,-0.78061783,0.6621521,0.99999,0.9999993,-0.9998348,-0.9999969,0.2531444,0.9997135,0.97995096,0.99991804,0.45394844,0.9999998,-1.0,0.9995825,-0.9999894,0.9013346,-1.0,0.6833839,0.64058304,0.999978,0.81287324,-0.99897796,0.9999342,1.0,0.9999995,-0.9997952,0.99990433,-0.99983513,-0.99987674,-0.030153718,0.99998885,0.99493295,-1.0,-0.99956435,1.0,-0.99999976,-0.99982125,-1.0,-0.99952966,-0.9999996,0.9999906,0.9999775,-0.72605336,0.9999767,0.72826356,0.9993583,-0.99999523,0.035927244,-0.9999057,-0.46325368,0.83136284,0.48381048,0.9999446,0.9999893,0.12624674,-1.0,0.2908454,-0.99999964,0.7080521,-1.0,-0.9999533,-1.0,-0.99999934,-0.9999514,-0.99999505,0.74626935,0.9999695,-0.9994818,0.8300315,0.36574894,-0.9999614,-0.9999996,0.99999344,0.6895634,-0.9996913,0.9999823,-0.99993855,1.0,1.0,-0.99999976,0.7856636,-0.9999989,1.0,0.75287193,0.9998892
-1.0,0.9999674,1.0,-0.9913702,-0.8233632,0.9395944,0.9999201,-1.0,0.99996096,0.99993247,0.99958414,0.99998003,-0.9998782,-0.9999362,0.9999547,0.99596643,-0.9728374,0.99998945,0.99999934,-0.9998995,-0.9999958,-0.98423684,0.99953014,-0.07510128,0.99995786,-0.98095477,1.0,-1.0,0.9998249,-0.99999243,0.99938035,-1.0,-0.9664175,-0.8900576,0.9999673,-0.9731145,-0.99669313,0.9999859,1.0,0.9999991,-0.9993797,0.99984425,-0.99971956,-0.99983925,-0.9003474,0.9999825,0.99649316,-1.0,-0.9995593,1.0,-1.0,-0.9995555,-1.0,-0.999555,-0.9999997,0.99998367,0.9999801,0.9967875,0.9971543,-0.9622411,0.9994786,-0.9999974,-0.84276754,-0.9999199,0.94894236,-0.9910681,-0.993164,0.9999992,0.99996597,0.9917914,-0.99999994,-0.9944372,-0.9999979,-0.98218864,-1.0,-0.99998546,-1.0,-0.9999998,-0.9999922,-0.99998915,-0.9826692,0.99996376,-0.99999774,-0.947775,-0.9972158,-0.9999961,-1.0,0.9999673,-0.8455704,-0.99977523,0.9999901,-0.9998181,1.0,1.0,-0.9999999,-0.93408185,-0.99999833,1.0,-0.9706922,0.9997185
