h_2_0,h_2_1,h_2_2,h_2_3,h_2_4,h_2_5,h_2_6,h_2_7,h_2_8,h_2_9,h_2_10,h_2_11,h_2_12,h_2_13,h_2_14,h_2_15,h_2_16,h_2_17,h_2_18,h_2_19,h_2_20,h_2_21,h_2_22,h_2_23,h_2_24,h_2_25,h_2_26,h_2_27,h_2_28,h_2_29,h_2_30,h_2_31,h_2_32,h_2_33,h_2_34,h_2_35,h_2_36,h_2_37,h_2_38,h_2_39,h_2_40,h_2_41,h_2_42,h_2_43,h_2_44,h_2_45,h_2_46,h_2_47,h_2_48,h_2_49
0.99917597,0.996459,-0.9975281,-0.99885494,-0.99762243,0.9992347,0.9983525,-0.9989833,0.9965478,0.99773145,-0.9965506,-0.9992625,-0.20271434,-0.0015183409,0.9996372,-0.9969494,-0.99953395,-0.9943314,-0.99959385,-0.5819407,0.9993104,-0.98879683,-0.9858997,-0.21871595,0.99810874,-0.019138914,0.9414708,0.9982786,0.98409605,-0.99927586,-0.99798316,-0.9996465,0.9988334,-0.99929065,-0.38473353,0.9994426,-0.99826187,0.9994624,-0.95253164,-0.997356,0.9856937,0.99914044,0.99274796,0.99993205,0.9947721,-0.99060047,0.9713779,-0.862593,0.95596147,-0.99453056
0.99989474,0.99964654,-0.99451506,-0.99991053,-0.9995095,0.99988633,0.9997553,-0.99984753,0.9960148,0.9996742,-0.9993446,-0.9998712,-0.04452776,-0.20577082,0.9999436,-0.99775875,-0.99967754,-0.99778134,-0.9996245,-0.8877268,0.9999169,-0.9987368,-0.99077064,-0.31285244,0.99949104,-0.24671662,0.9811711,0.99970806,0.99005336,-0.9993104,-0.9995598,-0.9995071,0.9998714,-0.99993646,-0.4823129,0.99977446,-0.99981457,0.9999601,-0.98232126,-0.9993314,0.99646634,0.9998577,0.9984502,0.9999566,0.9991009,-0.9978613,0.98916095,-0.93188876,0.9420122,-0.99882025
0.9959609,0.98268634,-0.9984779,-0.9908405,-0.9894388,0.99446845,0.9897301,-0.99349636,0.9960957,0.9888612,-0.9843562,-0.9949257,-0.16771288,0.122618295,0.9970203,-0.99624896,-0.99958307,-0.9826343,-0.99949646,0.071131796,0.99411297,-0.93381256,-0.9775026,-0.26809022,0.9871465,0.014639744,0.8736994,0.9912536,0.9612012,-0.9992945,-0.9913453,-0.9996429,0.99153,-0.9947994,-0.28293952,0.9982463,-0.99010664,0.99567086,-0.921684,-0.98625416,0.92849654,0.9941809,0.97101355,0.99991614,0.97284853,-0.95487684,0.9565733,-0.7531676,0.96946,-0.98560226
0.9564561,0.9543175,-0.9980677,-0.9754284,-0.9285732,0.9558382,0.9481675,-0.9629882,0.99520224,0.9032151,-0.8940752,-0.95530057,-0.07658802,0.07467431,0.98064446,-0.99639344,-0.99960625,-0.9736254,-0.9991037,0.6535828,0.98129016,-0.90592825,-0.97535574,-0.25878924,0.92023945,-0.13591413,0.89734745,0.91434574,0.9191186,-0.99923205,-0.93303263,-0.9997502,0.9206888,-0.9709829,-0.47377634,0.9965975,-0.9390483,0.96442103,-0.87403864,-0.9176266,0.79362774,0.9673552,0.94219184,0.99984324,0.8765319,-0.84790003,0.9527482,-0.7212873,0.9771239,-0.82430774
0.9998448,0.9994908,-0.9946675,-0.9998779,-0.99930084,0.9998247,0.9996661,-0.999785,0.9956895,0.9996255,-0.9990612,-0.99980795,-0.08409798,-0.19161434,0.9999196,-0.9973304,-0.99966955,-0.9972803,-0.99960715,-0.85819495,0.9998741,-0.9981998,-0.98888093,-0.27145356,0.99927413,-0.2410836,0.9776193,0.9996366,0.986993,-0.99933213,-0.99934405,-0.99945915,0.9998161,-0.99989384,-0.4738782,0.9997095,-0.99972343,0.99994326,-0.9800669,-0.998968,0.9950112,0.9997668,0.99835056,0.999952,0.9986532,-0.99690235,0.9855228,-0.90751505,0.94282377,-0.9985611
-0.9899491,-0.9912249,-0.99988395,0.9961151,0.98735166,-0.98806465,-0.99065673,0.98649955,0.9756478,-0.99297667,0.9890529,0.9922405,-0.31430373,0.5114109,-0.9942573,-0.99100274,-0.9975829,0.06886892,-0.99067885,0.99966276,-0.9933015,0.9956276,-0.8572958,0.25787875,-0.9914444,0.4388869,-0.78923553,-0.9904483,-0.24547467,-0.99859923,0.98501295,-0.9999382,-0.99023014,0.9709462,-0.4718495,0.494992,0.9640249,-0.99323267,-0.061883837,0.99147123,-0.99557483,-0.9906978,-0.9703771,0.99964327,-0.9928398,0.98630756,0.81530064,0.5271671,0.99502194,0.9382016
0.9988602,0.9968833,-0.99673605,-0.9988926,-0.99622,0.99882907,0.99796903,-0.9986358,0.99505025,0.9977917,-0.9960424,-0.99890375,-0.20864858,-0.060516402,0.999465,-0.9972456,-0.9995629,-0.9931179,-0.9994679,-0.5019265,0.9989692,-0.9873568,-0.9842124,-0.19158937,0.9961062,-0.15218885,0.942906,0.9982573,0.97757894,-0.9993137,-0.9966255,-0.9995753,0.9991418,-0.9994918,-0.46815965,0.9992694,-0.9986305,0.9996352,-0.9610886,-0.9950257,0.98008156,0.99861765,0.99308956,0.9999438,0.9914462,-0.98737204,0.97656244,-0.82310003,0.9593253,-0.99590254
0.98939294,0.9623314,-0.99843127,-0.9837011,-0.9702928,0.98730874,0.97844964,-0.9883639,0.99676895,0.98115325,-0.9725706,-0.9894659,-0.23616563,0.15898322,0.99373317,-0.9970148,-0.99946696,-0.9826304,-0.9993503,0.20559339,0.9890712,-0.90133315,-0.9780046,-0.1199412,0.98000026,0.007226602,0.8211859,0.98953617,0.94396996,-0.9991724,-0.9768998,-0.9996444,0.99143624,-0.99531364,-0.2545719,0.9973909,-0.986958,0.9955623,-0.88849175,-0.97588176,0.91431165,0.9901885,0.965706,0.9999006,0.9478797,-0.9117823,0.9573991,-0.6361032,0.9690073,-0.98101777
-0.99847066,-0.9982935,-0.9998811,0.999336,0.9979867,-0.998635,-0.99881196,0.99835527,0.98585695,-0.9975446,0.9986299,0.9987098,-0.37903997,0.44159088,-0.9993327,-0.98776454,-0.99832565,0.68136716,-0.99564564,0.9999036,-0.99904186,0.99961114,-0.7886403,0.35818052,-0.9983085,0.40473348,-0.80274165,-0.9984957,-0.5611371,-0.99867266,0.9979227,-0.99990875,-0.99846685,0.99730337,-0.48133817,-0.0810323,0.9953494,-0.99887973,0.39757383,0.99812907,-0.99883133,-0.9990917,-0.9865146,0.99961466,-0.9991562,0.9977733,0.25750074,0.67907697,0.9960169,0.974324
0.99990016,0.9996205,-0.99474186,-0.99991107,-0.99956334,0.9998979,0.9997679,-0.9998589,0.99656796,0.999684,-0.9993967,-0.9998859,-0.052040085,-0.19521014,0.99995095,-0.9978693,-0.99969333,-0.9978819,-0.99967736,-0.89655524,0.9999254,-0.9987584,-0.99151284,-0.3421787,0.99959356,-0.23540567,0.98308456,0.999715,0.9909441,-0.99933434,-0.9996292,-0.9995201,0.9998715,-0.999938,-0.43913308,0.99979186,-0.9998066,0.99995977,-0.9813264,-0.9994649,0.99699646,0.99988097,0.9984658,0.9999567,0.99919015,-0.99797803,0.9888585,-0.94048595,0.9428881,-0.99876505
