h_3_0,h_3_1
4.195809e-05,0.99995804
3.5770958e-05,0.99996424
5.9894155e-05,0.99994016
0.000108448614,0.9998915
3.6456106e-05,0.9999635
0.99723226,0.0027677668
4.3613752e-05,0.99995637
7.024496e-05,0.9999298
0.9976186,0.002381368
3.551067e-05,0.9999645
0.00037345279,0.9996265
5.9381062e-05,0.99994063
3.60536e-05,0.999964
4.369356e-05,0.99995625
0.9974158,0.0025842353
3.586075e-05,0.9999641
3.5197532e-05,0.99996483
6.911155e-05,0.99993086
0.9972772,0.002722857
0.99565744,0.004342564
3.6478712e-05,0.9999635
4.265642e-05,0.9999573
0.99550986,0.0044901725
3.8454273e-05,0.9999615
0.99626946,0.0037305702
3.7716283e-05,0.99996233
3.5805737e-05,0.99996424
0.97608215,0.023917869
3.5264155e-05,0.9999647
3.5280536e-05,0.9999647
4.4573277e-05,0.9999554
3.683018e-05,0.99996316
3.539562e-05,0.9999646
3.6768422e-05,0.9999633
0.99600464,0.003995404
0.99486756,0.0051324354
3.5876692e-05,0.9999641
3.7174545e-05,0.9999628
3.6650024e-05,0.9999634
4.079938e-05,0.99995923
0.9961196,0.0038804382
0.99699664,0.0030033463
3.604786e-05,0.999964
0.99791175,0.0020881947
3.6375088e-05,0.99996364
4.1549836e-05,0.9999584
0.99767464,0.0023253984
0.0005880495,0.99941194
3.5837198e-05,0.9999641
3.5803416e-05,0.99996424
0.9977982,0.002201775
3.7251342e-05,0.9999628
5.062212e-05,0.99994934
0.9967494,0.0032506292
4.2269134e-05,0.9999577
0.00013301986,0.99986696
3.70005e-05,0.99996305
3.8126294e-05,0.99996185
3.9614217e-05,0.9999604
5.146812e-05,0.9999485
8.271512e-05,0.99991727
0.99758065,0.0024192755
0.9972549,0.0027450728
3.4863733e-05,0.9999652
0.9978758,0.0021242234
3.7947546e-05,0.9999621
3.9310293e-05,0.99996066
5.57351e-05,0.9999442
5.7455876e-05,0.99994254
0.997503,0.002496989
3.5530727e-05,0.9999645
0.9979273,0.0020726465
0.997502,0.0024979776
0.9933109,0.0066890544
3.5165656e-05,0.99996483
0.9978655,0.0021344675
0.9977773,0.002222675
0.00041950948,0.99958044
3.5527508e-05,0.9999645
4.956646e-05,0.9999504
0.99734974,0.002650222
3.7665566e-05,0.99996233
3.7378803e-05,0.99996257
3.584714e-05,0.9999641
3.66781e-05,0.9999633
3.632711e-05,0.99996364
0.99801385,0.0019860738
3.7462134e-05,0.99996257
0.9960473,0.00395265
3.7293812e-05,0.9999627
3.512078e-05,0.99996483
3.5844234e-05,0.9999641
5.8449572e-05,0.9999416
0.99622357,0.0037763908
3.7364516e-05,0.9999627
0.9969214,0.0030786376
3.4949684e-05,0.9999651
0.99754435,0.0024556033
6.884147e-05,0.9999311
3.559163e-05,0.99996436
3.7473743e-05,0.99996257
3.6628153e-05,0.9999634
0.9970638,0.0029361395
3.665967e-05,0.9999633
3.532491e-05,0.9999647
3.8129205e-05,0.99996185
4.3269287e-05,0.9999567
4.028913e-05,0.9999597
3.5126373e-05,0.99996483
3.5012567e-05,0.99996495
3.7321708e-05,0.9999627
0.9975193,0.0024807022
3.898613e-05,0.999961
3.7076334e-05,0.9999629
3.5903766e-05,0.9999641
0.9976525,0.0023475608
3.8325186e-05,0.9999616
3.922806e-05,0.9999608
3.60348e-05,0.999964
3.6068075e-05,0.9999639
0.0010735369,0.99892646
3.612894e-05,0.9999639
