h_2_0,h_2_1,h_2_2,h_2_3,h_2_4,h_2_5,h_2_6,h_2_7,h_2_8,h_2_9,h_2_10,h_2_11,h_2_12,h_2_13,h_2_14,h_2_15,h_2_16,h_2_17,h_2_18,h_2_19,h_2_20,h_2_21,h_2_22,h_2_23,h_2_24,h_2_25,h_2_26,h_2_27,h_2_28,h_2_29,h_2_30,h_2_31,h_2_32,h_2_33,h_2_34,h_2_35,h_2_36,h_2_37,h_2_38,h_2_39,h_2_40,h_2_41,h_2_42,h_2_43,h_2_44,h_2_45,h_2_46,h_2_47,h_2_48,h_2_49
0.0,1.8289808,2.1321113,0.0,0.18902922,0.0,0.0,0.0,3.3959494,0.0,0.0,2.8801157,0.0,1.5994765,1.3300909,0.0,0.0,0.0,2.0328867,0.0,0.0,3.0372539,0.0,0.0,2.90746,2.7097104,2.9515367,2.1073482,0.0,0.0,1.5243268,0.0,0.0,4.5270386,0.0,0.0,2.3351483,0.0,0.15519284,0.0,0.0,0.0,0.0,0.0,2.1572373,0.0,0.0,0.0,0.0,0.0
0.0,1.3766153,1.5629927,0.0,0.15149125,0.0,0.0,0.0,2.4885411,0.0,0.0,2.2512736,0.0,1.0023448,0.7498342,0.0,0.0,0.0,1.4594448,0.0,0.0,1.9594446,0.0,0.0,2.0555866,1.9968035,1.672165,1.6794091,0.0,0.0,0.7274254,0.0,0.0,3.4736686,0.0,0.0,1.7431712,0.0,0.11136084,0.0,0.0,0.0,0.0,0.0,1.5563145,0.0,0.0,0.0,0.0,0.0
1.8249221,0.57068014,0.0,0.0,1.0063637,0.0,0.0,0.0,0.0,0.8628645,0.0,0.0,1.7145691,0.0,0.4520201,1.3068112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.608276,0.0,0.0,0.0,0.0,1.353261,0.0,0.0,2.139823,0.0,0.7704751,0.0,0.0,0.20509161,0.23262541,0.0,0.0,1.5263007,0.0,0.0,0.0,0.30455875,0.0,0.0,0.0,0.0,1.6483606
0.0,1.6238596,1.8335145,0.0,0.0,0.0,0.0,0.0,2.8765233,0.0,0.0,2.554128,0.0,1.311348,0.76568294,0.0,0.0,0.0,1.5731404,0.0,0.0,2.4537108,0.0072374493,0.0,2.248594,2.2838418,2.2826843,1.8060054,0.0,0.0,1.0749754,0.0,0.0,3.651617,0.0,0.0,1.9840308,0.0,0.13070583,0.0,0.0,0.0,0.0,0.0,1.8332503,0.0,0.0,0.0,0.0,0.0
1.92166,0.41993824,0.0,0.0,1.3285543,0.0,0.0,0.0,0.0,0.97458786,0.0,0.0,1.6364017,0.0,0.41990075,1.3375652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5171906,0.0,0.0,0.0,0.0,1.5604507,0.0,0.0,2.135023,0.0,0.97184354,0.0,0.0,0.0,0.53814995,0.0,0.0,1.5884756,0.0,0.0,0.0,0.22596672,0.0,0.0,0.0,0.0,1.6586322
0.0,1.208643,1.1207088,0.0,0.3461635,0.0,0.0,0.0,1.9937183,0.0,0.0,1.7680218,0.0,0.8923141,0.8577193,0.0,0.0,0.0,1.089237,0.0,0.0,1.5630245,0.0,0.35312432,1.5140849,1.4633735,1.4581534,1.1822635,0.0,0.0,0.8187401,0.0,0.0,2.6994445,0.0,0.0,1.4750133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3856845,0.0,0.0,0.0,0.0,0.0
0.0,1.5195605,2.1330602,0.0,0.13984515,0.0,0.0,0.0,3.2624078,0.0,0.0,3.166417,0.0,1.4872069,1.3413464,0.0,0.0,0.0,2.1669142,0.0,0.0,2.8904424,0.0,0.0,2.823991,2.7063043,2.5510325,2.2325583,0.0,0.0,1.3382373,0.0,0.0,4.2891555,0.0,0.0,2.4706986,0.0,0.05621735,0.0,0.0,0.0,0.0,0.0,2.3136191,0.0,0.0,0.0,0.0,0.0
0.0,1.7224666,1.7069778,0.0,0.14956167,0.0,0.0,0.0,2.7311609,0.0,0.0,2.3541138,0.0,1.2911205,1.1975546,0.0,0.0,0.0,1.6689407,0.0,0.0,2.4820778,0.0,0.0,2.42407,2.2590714,2.1277156,1.754845,0.0,0.0,0.93244517,0.0,0.0,3.7581294,0.0,0.0,2.1710057,0.0,0.22018147,0.0,0.0,0.0,0.0,0.0,2.147728,0.0,0.0,0.0,0.0,0.0
0.30727372,0.8376167,0.4887009,0.0,0.62073755,0.0,0.0,0.0,1.3068111,0.037701398,0.0,1.0928293,0.32252306,0.7045246,0.7428237,0.15520076,0.0,0.0,0.81164265,0.0,0.0,0.9915964,0.0,0.26480973,1.0438278,0.89697903,0.96582276,0.5523499,0.26607108,0.0,0.43436888,0.4894395,0.0,1.985231,0.0,0.0,0.8297783,0.0,0.0,0.0,0.27644533,0.0,0.0,0.0,0.90600777,0.0,0.0,0.0,0.0,0.25508544
0.0,1.1214566,1.1154653,0.0,0.335256,0.0,0.0,0.0,2.042923,0.0,0.0,1.742462,0.0,0.93002075,1.0246447,0.0,0.0,0.0,1.2073716,0.0,0.0,1.5631493,0.0,0.0,1.6909575,1.6917446,1.6048588,1.2744696,0.0,0.0,0.9099867,0.0,0.0,3.0457864,0.0,0.0,1.5613495,0.0,0.014626892,0.0,0.0,0.0,0.0,0.0,1.4787612,0.0,0.0,0.0,0.0,0.0
