h_3_0,h_3_1
0.99985564,0.00014438647
0.9980983,0.0019016449
0.9987312,0.0012688496
2.5559004e-14,1.0
4.566245e-09,1.0
1.6396706e-15,1.0
2.7584358e-11,1.0
0.0316307,0.96836936
7.9167733e-10,1.0
3.6187774e-12,1.0
5.4534224e-11,1.0
0.99999964,3.50073e-07
0.99999976,2.0064162e-07
2.1934411e-10,1.0
0.9999939,6.109246e-06
0.0032336111,0.99676645
2.066629e-07,0.99999976
1.3188879e-11,1.0
2.2141407e-08,1.0
4.2029165e-13,1.0
3.634901e-05,0.99996364
2.900668e-12,1.0
1.3313955e-06,0.9999987
4.0597903e-10,1.0
1.558865e-08,1.0
0.0038587144,0.99614125
1.4174567e-10,1.0
0.006603636,0.9933963
4.2572781e-10,1.0
5.4005335e-13,1.0
1.8337663e-07,0.99999976
8.785021e-11,1.0
0.9999999,1.6512581e-07
6.0380438e-12,1.0
1.207254e-12,1.0
5.888228e-11,1.0
6.348754e-12,1.0
0.99999714,2.9005523e-06
6.045463e-09,1.0
0.9999975,2.5097313e-06
4.4311217e-12,1.0
0.9996132,0.00038681328
8.06057e-08,0.9999999
8.24406e-08,0.9999999
1.202923e-13,1.0
7.977336e-12,1.0
3.5633717e-13,1.0
9.3798165e-14,1.0
7.314504e-10,1.0
1.7654335e-10,1.0
3.3140903e-11,1.0
0.9999975,2.5190736e-06
3.5859604e-09,1.0
5.3872933e-09,1.0
1.4130661e-12,1.0
5.1092672e-11,1.0
6.8194604e-12,1.0
1.2213054e-12,1.0
0.9995254,0.00047453435
0.00050559145,0.99949443
3.603963e-11,1.0
4.8382956e-12,1.0
7.035776e-11,1.0
7.917399e-12,1.0
7.454154e-07,0.9999993
6.0161764e-09,1.0
6.664815e-09,1.0
1.3501605e-09,1.0
0.99648297,0.0035170424
3.361708e-13,1.0
0.9999999,1.5412598e-07
9.596948e-13,1.0
3.028063e-12,1.0
2.3453602e-13,1.0
1.0336099e-09,1.0
0.9985709,0.0014291205
0.9944595,0.005540503
0.999972,2.7972956e-05
1.7688244e-05,0.99998236
8.101682e-11,1.0
9.068008e-10,1.0
2.1290155e-06,0.99999785
3.4831844e-06,0.99999654
2.898521e-09,1.0
0.9997398,0.00026017454
1.0724124e-10,1.0
5.5091505e-13,1.0
9.788042e-09,1.0
1.7946396e-08,1.0
3.1123483e-12,1.0
0.00011529287,0.9998847
0.00016833433,0.9998317
0.9999969,3.0712984e-06
5.7254128e-12,1.0
2.157003e-13,1.0
0.99878675,0.0012133077
1.4203362e-10,1.0
1.0825617e-08,1.0
5.3991075e-11,1.0
1.4326229e-05,0.9999857
0.9997632,0.00023681672
5.5992836e-12,1.0
3.9710835e-09,1.0
3.923355e-15,1.0
7.787073e-12,1.0
1.0535442e-12,1.0
4.899494e-12,1.0
0.9999999,9.491135e-08
4.707986e-13,1.0
9.486566e-10,1.0
2.5218185e-11,1.0
4.3050336e-16,1.0
5.8151896e-11,1.0
0.9972978,0.0027021358
0.99997663,2.3325916e-05
9.876861e-07,0.99999905
1.414817e-07,0.9999999
7.3707506e-13,1.0
1.0,5.7431098e-08
0.9999976,2.4123199e-06
0.9996203,0.0003796007
1.1936484e-09,1.0
0.99868125,0.0013187488
1.6184984e-11,1.0
1.7746714e-09,1.0
1.4391675e-12,1.0
2.3422556e-11,1.0
1.0,2.0213171e-10
1.1240649e-14,1.0
1.1059275e-09,1.0
1.8859335e-10,1.0
1.021059e-10,1.0
0.9997565,0.00024345859
4.1751216e-12,1.0
1.0,8.688016e-09
1.0,2.4625046e-10
8.783681e-11,1.0
3.9793915e-10,1.0
1.0,3.3220598e-10
1.9677242e-12,1.0
0.00014101277,0.999859
0.008492524,0.9915074
6.693538e-07,0.9999993
2.2535426e-12,1.0
3.2093078e-12,1.0
0.9993957,0.0006042421
6.5289455e-06,0.99999344
5.7193557e-08,1.0
3.6332773e-10,1.0
2.1330907e-08,1.0
0.9999981,1.8976083e-06
2.2575297e-09,1.0
0.9999999,7.263336e-08
1.2511695e-12,1.0
2.3553773e-07,0.99999976
7.7281614e-10,1.0
2.372958e-12,1.0
6.180008e-15,1.0
2.4347712e-06,0.9999976
1.566658e-10,1.0
8.293372e-13,1.0
0.00042721973,0.9995728
1.7558598e-06,0.9999982
1.1102947e-08,1.0
1.2947123e-09,1.0
3.2826178e-10,1.0
1.3145983e-11,1.0
0.99544156,0.004558409
2.2205985e-12,1.0
4.349225e-06,0.9999957
7.0354306e-10,1.0
0.9999925,7.5614907e-06
5.721051e-14,1.0
0.9999995,5.008924e-07
1.1370143e-09,1.0
0.9999815,1.8455507e-05
2.165996e-08,1.0
5.451233e-13,1.0
9.238163e-11,1.0
1.1137004e-09,1.0
0.9999844,1.5598722e-05
5.8250193e-13,1.0
9.382152e-12,1.0
0.99999976,2.8782992e-07
4.454799e-12,1.0
1.2075639e-10,1.0
7.2669704e-11,1.0
3.2360536e-15,1.0
3.0210657e-08,1.0
0.9997906,0.00020941853
0.99999714,2.8778372e-06
4.7832046e-12,1.0
5.915926e-13,1.0
4.211258e-11,1.0
4.4185046e-12,1.0
4.9010425e-05,0.999951
0.9998783,0.00012174163
5.5977965e-13,1.0
6.339694e-11,1.0
1.206876e-09,1.0
3.1359794e-13,1.0
0.999689,0.00031102714
6.628572e-07,0.9999993
2.2188361e-13,1.0
0.99999785,2.088432e-06
4.6506164e-13,1.0
1.4862173e-12,1.0
1.0,2.8057885e-08
2.7778124e-15,1.0
1.0,9.671919e-10
2.1926586e-14,1.0
2.3703149e-07,0.99999976
9.54544e-11,1.0
1.2456131e-14,1.0
4.963686e-10,1.0
4.785788e-08,1.0
2.8027884e-05,0.999972
0.99997115,2.8890163e-05
0.99999154,8.492172e-06
4.1381366e-16,1.0
2.0428223e-08,1.0
1.0965103e-07,0.9999999
5.190306e-06,0.99999475
0.9997596,0.00024042821
2.3822946e-09,1.0
1.1623919e-12,1.0
0.9999964,3.5349128e-06
2.2540228e-13,1.0
0.9991906,0.0008093906
0.99999976,2.5107795e-07
0.9999999,6.9599466e-08
