h_1_0,h_1_1,h_1_2,h_1_3,h_1_4,h_1_5,h_1_6,h_1_7,h_1_8,h_1_9
0.99957126,0.9944584,0.9999746,-0.9968312,-0.9260532,-0.995807,0.76844704,0.98708874,-0.99929893,0.99999344
-0.9999887,-0.5883296,0.79628074,0.9924239,0.99732745,0.8921065,0.9388396,-0.99915165,0.5755249,0.9100578
-0.99294066,-0.9931267,0.0783303,0.85380846,0.9369536,0.99472964,0.99421215,-0.99843705,-0.9132335,-0.93661547
-0.95826775,-0.9896528,0.723205,0.69615,0.9179674,0.711093,0.96520865,-0.95974004,0.6640978,-0.81337196
0.84810716,-0.9100375,-0.19857623,-0.9307101,0.42518294,-0.7076543,0.8243264,0.95629567,-0.9996865,0.94520503
-0.9992695,-0.83706707,0.9898169,0.99980307,0.986199,0.99851245,0.97561467,-0.999956,0.8826487,0.9993128
0.26413214,0.86680686,0.54680085,-0.99636376,-0.83925295,0.7662897,0.035983086,0.9997242,-0.99990714,0.9895274
0.52206784,0.503871,0.52043116,-0.9991092,-0.47737733,0.7988014,0.8964806,0.98751163,-0.9996122,0.9971246
-0.48895544,-0.9864672,-0.41383982,-0.94823337,0.86438864,0.7572388,0.9490112,-0.5039905,-0.49247205,-0.94331443
0.99035287,-0.5424523,0.2610721,-0.99997956,0.9051965,-0.78716195,0.9824042,0.9982833,-0.9996575,0.9655279
-0.9993388,-0.99816173,0.99962306,0.99935853,0.9874165,0.7965262,-0.62015843,-0.9975292,0.9936123,0.999996
-0.99640447,-0.9999834,0.88232034,0.44496512,0.97760266,0.12740503,0.4697152,-0.8030928,0.8488084,0.2720107
0.57202667,0.86008686,0.77637875,-0.99843067,-0.845475,-0.53555727,-0.6500989,0.9994431,-0.9999822,0.9940353
-0.9999514,-0.99999756,-0.51953006,0.95832723,0.9776017,0.99791557,0.6820411,-0.99821013,-0.98161256,0.9982212
0.9134166,0.9767941,0.98489255,-0.99809635,0.08096968,0.9665006,0.8550658,0.9974055,-0.99997616,0.9999995
-0.80622315,-0.97667634,-0.92986274,-0.11361718,0.95248604,0.8729607,0.9997552,-0.9158504,-0.97418034,-0.82245386
-0.981853,0.9984716,0.99126947,-0.97405744,0.9871736,-0.048967693,0.3173999,0.9868183,-0.9999395,0.9966752
-0.9977944,-0.9986525,-0.37768462,-0.9955977,0.9017464,0.93570143,0.732361,-0.9168607,-0.7649128,-0.9755777
-0.82717013,-0.43249375,0.98420376,0.9914373,0.5839728,0.94753015,0.78909755,-0.990657,0.9952358,0.9856438
-0.53566515,-0.2411328,0.9665175,-0.999989,0.9947774,-0.9514816,-0.64852744,0.9999997,-0.99999297,0.9999612
-0.9999831,-0.9998712,0.7096703,0.99830484,0.9953029,0.9924764,0.8722161,-0.9997018,0.99914926,0.9317812
0.5285676,-0.7664833,0.3802796,-0.99819624,0.8378522,0.13788258,0.81325406,0.997727,-0.9989975,0.96724874
-0.9980607,-0.7943823,0.9881922,0.99961174,0.9810082,0.90540314,0.46346053,-0.9980042,0.9225725,0.99999523
-0.35521534,-0.96758056,-0.20295806,0.95632595,0.6523877,0.7513971,0.96126634,-0.879382,0.74478394,-0.29229116
-0.9986222,-0.9283912,0.5249792,0.99957836,0.9516001,0.9996158,0.99603266,-0.9944047,-0.14888951,0.8294772
-0.23601817,-0.5086205,0.04158014,-0.15105206,0.20868142,0.8785995,0.17820466,-0.49812293,0.21193881,-0.2664457
-0.99313414,-0.97978514,0.21287274,-0.9959183,0.9837398,0.33920974,0.8582263,-0.93972003,-0.5207425,-0.9903965
-0.40449712,-0.9784848,-0.48730895,-0.9948902,0.56348395,-0.6557039,0.87414217,0.99433994,-0.99988526,0.7986336
0.97931373,-0.9933508,0.7751762,-0.9999525,0.99968326,-0.9996692,0.9363686,0.9999708,-0.9972755,0.99993294
-0.9954866,-0.8803944,-0.50942945,-0.156333,0.9717031,0.96170443,0.98610663,-0.9912578,-0.9908943,-0.9977158
-0.5957734,-0.023664443,0.98022676,-0.98391944,0.18185982,0.32635412,-0.9234966,0.99923533,-0.9999758,0.9995134
-0.994198,-0.95677555,-0.38796422,-0.9767925,0.48049057,0.2690461,-0.87435144,0.6545093,-0.68024665,0.6988559
-0.9732664,-0.9607372,0.7048524,0.85893184,0.865067,0.89786845,0.9840935,-0.71923816,0.860923,0.65113586
-0.13934292,0.87204784,0.9509843,-0.98605746,-0.93370277,0.94869095,0.17226492,0.76406443,-0.9204097,-0.09439124
-0.87808794,-0.99644494,-0.961829,-0.9987994,0.92044026,0.69492704,0.9826921,-0.5488563,-0.96580344,-0.96890074
-0.10447524,0.86509955,-0.27973282,-0.9997683,0.9385686,0.46553126,0.9905024,0.999114,-0.99977577,0.850118
-0.8872862,-0.9987572,-0.6035161,0.97290426,0.9977785,0.9515013,0.9973295,-0.97300476,0.99917185,0.99116886
-0.8935035,-0.9382481,0.6424532,0.8563423,0.58878094,0.9800023,0.9623616,-0.9977981,-0.04460499,-0.9938796
-0.9998278,-0.9999975,-0.60341126,0.9869626,0.93102443,0.9973301,-0.35106316,-0.9989714,0.96444285,0.9913043
-0.96561617,0.22512087,0.77749074,0.8934249,0.822789,0.96050966,0.2759478,-0.88620293,0.24954653,0.9829999
-0.99950105,-0.9998861,-0.019840153,0.9605607,0.6888497,0.9871791,0.7814985,-0.9987435,0.9151483,-0.42604834
-0.99781334,-0.99967116,0.66349214,0.98212075,0.965384,0.953571,0.21998365,-0.9976767,0.99807715,0.99773425
-0.97715014,-0.9982154,0.9618311,0.99974513,0.9943126,0.9318192,0.9308894,-0.9966534,0.9999777,0.9991721
-0.75647426,-0.83816165,0.28931046,-0.99472266,-0.6241597,0.6505242,-0.8750276,0.9939395,-0.9997262,0.9990917
-0.994404,-0.9962647,-0.8297799,-0.9977983,0.98688924,0.9973363,0.9868017,-0.96927345,-0.90554637,-0.998578
-0.7397744,-0.1921542,0.7563731,-0.99995565,-0.98367125,0.9893132,-0.6166226,0.9992866,-0.99999213,0.98638296
-0.92623574,-0.7592944,0.33968052,0.97631425,0.9119274,0.7323181,0.91245955,-0.9582906,0.40248728,0.63339245
0.25687498,0.99010265,0.28908214,-0.9997848,0.99202204,0.6062901,0.99376255,0.99871033,-0.999992,0.9998614
-0.99934983,0.9275301,0.8248075,-0.9995157,-0.98273396,0.99117684,-0.30885065,0.6769568,-0.9850943,0.99214894
-0.99770945,-0.93938726,0.07250914,0.9988159,0.98509866,0.927619,0.9229186,-0.99875295,-0.5907729,-0.48959973
0.99114215,-0.06743886,0.87585574,-0.97799355,-0.2346577,0.69188905,0.6668106,0.10098668,-0.9931341,0.84140027
-0.999755,-0.9684814,0.82030463,0.99757016,0.98524016,0.9678727,0.96573037,-0.99925184,0.5815089,-0.6097294
-0.9999999,0.842866,0.9958348,-0.8624579,0.98339045,0.9663493,-0.8301084,0.3715552,-0.71140444,0.7381133
-0.8769258,-0.9999066,-0.037640765,-0.9693677,0.9970106,0.7487634,0.75650585,-0.86420107,0.57265276,-0.9800133
-0.9528237,-0.98489296,0.41146502,-0.75949794,0.978552,0.73547363,0.96951073,-0.34383753,-0.33389717,-0.96438414
-0.9819591,-0.90776724,-0.3116067,0.9017033,0.30399305,0.86863774,0.9004059,-0.9839806,-0.41894498,-0.93537897
-0.61073536,-0.9992725,0.854777,-0.9902426,0.9988281,-0.9251456,-0.7932236,0.9999769,-0.99956155,0.9999601
-0.9997023,0.9584548,0.9552395,-0.98855925,-0.4129037,0.99953973,-0.5662838,0.89705294,-0.9989527,0.91040635
0.5334425,0.7138087,0.9594864,-0.99955916,0.8909664,-0.7200021,0.9960707,0.999792,-0.99797904,0.99955666
-0.7914241,-0.30358553,0.94389826,0.9992161,0.6413962,0.85209566,0.0010607686,-0.98437387,0.59341305,0.9370712
-0.9927773,-0.94300836,0.33355933,0.88158005,0.9565252,0.13883089,0.94832265,-0.97803855,-0.35805854,0.3712227
0.48193398,-0.82357377,0.972889,-0.9999107,-0.8476331,-0.29793224,-0.6650261,0.9977748,-0.99957913,0.9619293
-0.98617446,-0.9976355,-0.0041690073,0.97150713,0.9912322,0.9412194,0.99934524,-0.9963196,0.022091607,0.6040044
-0.6515992,0.45564553,0.9533795,-0.9999738,0.99992514,-0.9850358,0.99995524,0.99997914,-0.99979657,0.9999703
-0.9661088,-0.9993705,0.9966704,0.99979824,0.92403066,0.75730294,-0.8304923,-0.99819714,0.9987159,0.9999977
-0.82634914,-0.99504477,-0.619229,0.82305443,0.4629538,0.9952007,0.85048574,-0.9643491,0.99928993,0.68279064
0.8922235,-0.12736769,0.80759573,-0.9974031,-0.9850324,0.97526085,0.8079815,0.62534094,-0.9999765,0.606701
-0.4236339,-0.9996746,0.17074063,-0.9999625,0.89102745,-0.7559365,-0.9209212,0.9908912,-0.9998938,0.9223382
-0.8219796,-0.95372003,-0.45171517,0.3949252,0.56693935,0.95231897,0.80447257,-0.97512287,-0.15679029,-0.6487141
-0.99909616,-0.5707841,0.9997837,0.9889952,0.99969983,0.98983514,0.123305984,-0.99857897,0.99679106,0.9999546
0.9786106,0.98427385,0.96821594,-0.9983025,0.8515567,0.818983,-0.58677375,0.9997047,-0.999936,0.9999945
-0.04245277,0.9451169,-0.44349572,-0.8683222,0.99998134,-0.082823135,0.9999909,0.8374396,-0.9690873,0.99999064
-0.99988544,-0.61489534,0.12973256,0.9958688,0.99755704,0.99186444,0.9439801,-0.99228907,-0.9899219,0.99994284
-0.99205977,-0.9062051,-0.07793704,0.9953532,0.8742373,0.98896646,0.63197327,-0.9942555,-0.6336981,0.95752156
-0.9870315,-0.51317257,0.96045667,0.9962504,0.9423456,0.99580777,0.52761817,-0.995512,0.98136085,0.99988353
0.42926675,0.6910215,0.6763325,-0.99987066,-0.9983618,-0.19923988,-0.956999,0.9999449,-0.99997115,0.99875927
-0.9910635,-0.99947995,0.97950995,0.9998506,0.99654365,0.87904525,0.6431093,-0.9994018,0.99841887,0.9985959
-0.9999518,-0.9998149,0.9799762,0.02726981,0.99999434,-0.9037811,-0.9589076,0.64101404,-0.970892,0.9995736
-0.97402984,-0.99984807,-0.47432274,-0.9999138,0.9999836,0.8547047,0.99973744,0.99949455,-0.99794966,0.99999756
-0.9995851,-0.98181283,-0.7845318,-0.99999857,0.99946004,0.98540914,0.9922058,0.6609494,-0.9988225,-0.99598044
-0.9960874,-0.9916828,-0.9628493,0.8515559,0.9910899,0.8629823,0.96574295,-0.9691633,-0.9964781,0.87568915
-0.9957025,-0.998742,0.631618,-0.9995032,0.459835,0.23561041,-0.99795747,0.9907174,-0.99976057,0.9932444
-0.7613168,-0.3398861,0.6466905,-0.99969083,-0.89850754,0.9199571,-0.9267277,0.9281357,-0.9998773,0.70906883
