h_2_0,h_2_1,h_2_2,h_2_3,h_2_4
0.9996054,-0.99941206,-0.9988716,-0.99913096,0.998753
-0.9215284,0.9965028,0.9913609,0.9993019,-0.91706395
-0.9944373,0.9991583,0.9764612,0.9989389,-0.9466598
-0.9957738,0.9949922,0.9963684,0.9997525,-0.9831097
0.95467514,-0.92987645,-0.7990345,-0.9451934,0.9437874
-0.94343036,0.9963299,0.9960418,0.9997552,-0.9448105
0.99222255,-0.9852663,-0.9962343,-0.99383736,0.97421944
0.97864753,-0.9213,-0.98600197,-0.9595959,0.91264784
-0.9716865,0.9437726,0.90813047,0.9561746,-0.91584516
0.96934277,-0.918601,-0.89899766,-0.9492954,0.9650006
-0.8562812,0.9671481,0.9864056,0.9987276,-0.65615684
-0.91906166,0.9207847,0.9923719,0.9969627,-0.8024987
0.99934614,-0.9995584,-0.99915546,-0.99957675,0.99905473
-0.88915867,0.9991214,0.96917665,0.99328476,-0.77606136
0.985461,-0.8537801,-0.99649346,-0.94949555,0.9437726
-0.9902261,0.9977763,0.96562654,0.9877539,-0.961012
0.94340974,-0.8896613,-0.91976994,-0.9916638,0.94564354
-0.9815956,0.9715793,0.9391647,0.9716571,-0.901059
-0.8536408,0.98890376,0.986613,0.9992626,-0.90286803
0.9804157,-0.9935002,-0.9092358,-0.9950706,0.99566585
-0.96676666,0.9971568,0.99778295,0.9997964,-0.96917945
0.8725722,-0.7295236,-0.77266204,-0.7689182,0.87371707
-0.91461945,0.9921357,0.99319106,0.99949235,-0.892917
-0.99107724,0.99772304,0.9947255,0.9995474,-0.99005914
-0.9246177,0.9979539,0.98678374,0.99908614,-0.85979867
-0.82116276,0.8179731,0.7220162,0.9547172,-0.76630634
-0.96037805,0.88061136,0.9438419,0.9682328,-0.73234105
0.70657355,-0.8350415,0.17354567,-0.95006615,0.7186188
0.97661537,-0.9668183,-0.8620552,-0.90481013,0.9867656
-0.99160564,0.9972487,0.96117777,0.99149615,-0.95038676
0.9727548,-0.9893114,-0.96605515,-0.9889759,0.98889107
0.35915205,-0.8247541,0.102015704,-0.9081121,0.678962
-0.9650348,0.99342483,0.99624914,0.99948144,-0.96472216
0.9238733,-0.9724355,-0.9901725,-0.96297216,0.90642375
-0.9809551,0.9734351,0.934926,0.8911474,-0.93224293
0.7715613,0.07901678,-0.8795708,-0.9713684,0.33135697
-0.9860002,0.999412,0.9990983,0.99956775,-0.99509346
-0.99407744,0.99654275,0.98577297,0.9996257,-0.9636236
-0.9706685,0.9973736,0.99674124,0.99820846,-0.97670954
-0.6123314,0.9871952,0.86313814,0.98773605,-0.6189171
-0.997218,0.9985008,0.99846613,0.9997963,-0.99560064
-0.941772,0.99320537,0.99555176,0.99950546,-0.92762697
-0.95134616,0.995804,0.9973121,0.9998072,-0.9509683
0.93235373,-0.9895384,-0.8466727,-0.9751275,0.9627565
-0.98986256,0.9913692,0.96139234,0.975068,-0.95775795
0.9678946,-0.99264246,-0.95867395,-0.98043084,0.97149724
