h_3_0,h_3_1
1.0,1.8491583e-08
1.0,1.8636898e-08
1.0,1.849123e-08
1.1898961e-08,1.0
1.205225e-08,1.0
1.21487e-08,1.0
1.1787956e-08,1.0
1.0,1.862233e-08
1.203897e-08,1.0
1.192202e-08,1.0
1.1829851e-08,1.0
1.0,1.8536324e-08
1.0,1.8578621e-08
1.238302e-08,1.0
1.0,1.8490807e-08
1.0,1.8496168e-08
1.2024489e-08,1.0
1.17913075e-08,1.0
1.17456285e-08,1.0
1.0,1.848915e-08
1.0,1.857012e-08
1.0,1.849123e-08
1.0,1.8505768e-08
1.1821009e-08,1.0
1.0,1.8485306e-08
1.1747175e-08,1.0
1.0,1.8555319e-08
1.0,1.8799128e-08
1.1896556e-08,1.0
1.0,1.8525261e-08
1.1741462e-08,1.0
1.2050526e-08,1.0
1.0,1.857802e-08
1.1747018e-08,1.0
1.0,1.8547535e-08
1.1879142e-08,1.0
1.0,1.8485236e-08
1.1750424e-08,1.0
1.0,1.8490313e-08
1.1980626e-08,1.0
1.1832468e-08,1.0
1.0,1.8484778e-08
1.0,1.849109e-08
1.2013165e-08,1.0
1.0,1.8486189e-08
1.0,1.8530775e-08
1.0,1.8545341e-08
1.0,1.8851837e-08
1.1983552e-08,1.0
1.2016052e-08,1.0
1.0,1.8502378e-08
1.0,1.8510356e-08
1.2508977e-08,1.0
1.0,1.8495534e-08
1.2032955e-08,1.0
1.0,1.84858e-08
1.1912314e-08,1.0
1.0,1.854704e-08
1.0,2.6339348e-08
1.0,1.8778305e-08
1.1751814e-08,1.0
1.0,1.849631e-08
1.0,1.8513887e-08
1.1810529e-08,1.0
1.1782472e-08,1.0
1.2380186e-08,1.0
1.0,1.8499767e-08
1.0,2.2304512e-08
1.2290123e-08,1.0
1.2020866e-08,1.0
1.1921246e-08,1.0
1.0,1.8496522e-08
1.0,1.8541876e-08
1.0,1.8505343e-08
1.2159526e-08,1.0
1.0,1.8499273e-08
1.1805147e-08,1.0
1.2200785e-08,1.0
1.226792e-08,1.0
1.1863338e-08,1.0
1.206483e-08,1.0
1.0,1.8486118e-08
1.0,1.8498497e-08
1.0,1.9063837e-08
1.1804854e-08,1.0
1.0,1.860316e-08
1.0,1.8556134e-08
1.2097505e-08,1.0
1.0,1.8498215e-08
1.0,1.8751678e-08
1.3355365e-08,1.0
1.1779101e-08,1.0
1.1911314e-08,1.0
1.1908725e-08,1.0
1.1992103e-08,1.0
1.0,1.8543078e-08
1.0,1.8712697e-08
1.18810455e-08,1.0
1.3064041e-08,1.0
1.0,1.8495463e-08
1.2012569e-08,1.0
1.2267967e-08,1.0
1.0,1.850358e-08
1.0,1.8486046e-08
1.18323555e-08,1.0
1.2036513e-08,1.0
1.0,1.8539259e-08
1.0,1.8525897e-08
1.17380585e-08,1.0
1.5401572e-08,1.0
1.2075467e-08,1.0
1.1974413e-08,1.0
1.1722554e-08,1.0
1.0,1.8530951e-08
1.0,1.8488269e-08
1.1750088e-08,1.0
1.2090954e-08,1.0
1.0,1.8607382e-08
1.0,1.8485906e-08
1.18426735e-08,1.0
1.6114347e-08,1.0
1.0,1.8498074e-08
1.19303225e-08,1.0
1.0,1.8575859e-08
1.1734522e-08,1.0
1.1947218e-08,1.0
1.191595e-08,1.0
1.1799339e-08,1.0
1.2462895e-08,1.0
1.1825723e-08,1.0
1.0,1.852883e-08
1.25700135e-08,1.0
1.0,1.8524696e-08
1.181062e-08,1.0
1.6720417e-08,1.0
1.0,1.8487563e-08
1.0,1.9806436e-08
1.17761365e-08,1.0
1.1788969e-08,1.0
