h_2_0,h_2_1,h_2_2,h_2_3,h_2_4,h_2_5,h_2_6,h_2_7,h_2_8,h_2_9,h_2_10,h_2_11,h_2_12,h_2_13,h_2_14
0.8416562,0.0,0.72105277,0.0,1.1138809,0.99085677,0.8440954,0.66442716,0.0,0.0,0.0,0.0,0.7306671,0.0,0.0
0.027076334,0.9182735,0.38187236,0.23992223,0.6391537,0.63517714,0.2507964,0.0,0.8810292,1.7998159,0.0,0.0,0.046208218,1.5731827,1.2175521
0.8833467,0.0,0.72418976,0.0,1.1197913,1.0181571,0.790436,0.638067,0.0,0.0,0.0,0.0,0.71727693,0.0,0.0
0.81911016,0.0,0.7942691,0.0,1.2169399,0.997816,0.85162616,0.7199996,0.0,0.0,0.0,0.0,0.6817909,0.0,0.0
0.74985147,0.0,0.75909555,0.0,1.1270276,0.94295734,0.8798183,0.6970165,0.0,0.0,0.0,0.0,0.7089622,0.0,0.0
0.77913463,0.0,0.7363429,0.0,1.0810742,0.9490742,0.87679,0.67624784,0.0,0.0,0.0,0.0,0.74361855,0.0,0.0
0.81551266,0.0,0.7887949,0.0,1.1821347,0.9937099,0.78141934,0.6728444,0.0,0.0,0.0,0.0,0.66163844,0.0,0.0
0.0,0.82385904,0.0,0.0,0.0,0.0,0.1287942,0.0,0.7951451,1.1708587,0.0,0.0,0.0,0.6930513,0.9232648
0.59313947,0.026592042,0.6893728,0.0,1.0903571,0.85245734,0.7490645,0.6315577,0.015754642,0.09413434,0.0,0.0,0.52320206,0.028039247,0.04940163
0.0,0.94774044,0.0,0.0,0.0,0.0,0.0,0.0,1.1109412,2.0230305,0.0,0.0,0.0,1.4033628,1.6969924
0.7449321,0.0,0.62685317,0.0,0.9801078,0.88903105,0.7136042,0.5231466,0.032739736,0.02638169,0.0,0.0,0.6499679,0.030184872,0.0
0.0,1.1226248,0.0,0.0,0.0,0.0,0.03288828,0.0,1.2114558,1.7429112,0.0,0.0,0.0,0.92650235,1.3641427
0.8833467,0.0,0.72418976,0.0,1.1197913,1.0181571,0.790436,0.638067,0.0,0.0,0.0,0.0,0.71727693,0.0,0.0
0.81551266,0.0,0.7887949,0.0,1.1821347,0.9937099,0.78141934,0.6728444,0.0,0.0,0.0,0.0,0.66163844,0.0,0.0
0.77913463,0.0,0.7363429,0.0,1.0810742,0.9490742,0.87679,0.67624784,0.0,0.0,0.0,0.0,0.74361855,0.0,0.0
0.77913463,0.0,0.7363429,0.0,1.0810742,0.9490742,0.87679,0.67624784,0.0,0.0,0.0,0.0,0.74361855,0.0,0.0
0.71733373,0.0,0.77978814,0.0,1.1664771,0.93150264,0.8833086,0.7153073,0.0,0.0,0.0,0.0,0.67639744,0.0,0.0
0.0,1.1314756,0.0,0.0,0.0,0.0,0.0,0.0,1.1688558,2.0807424,0.0,0.0,0.0,1.2410712,1.5034858
0.0,1.6513205,0.0,0.0,0.0,0.0,0.0,0.0,1.9309729,2.7822618,0.0,0.0,0.0,1.7902495,2.3401759
0.0,1.0693898,0.0,0.0,0.0,0.0,0.27869084,0.0,1.2529565,1.5251707,0.0,0.0,0.0,0.8911714,1.3687
0.6314981,0.010755825,0.70475614,0.0015561488,1.0295578,0.8709496,0.6833469,0.53401446,0.0,0.09813554,0.0,0.0,0.5489247,0.10570279,0.026445594
0.83853245,0.0,0.71543694,0.0,1.0817472,0.98832333,0.77394485,0.61768097,0.0,0.0,0.0,0.0,0.70882165,0.0,0.0
0.0,0.9533521,0.0,0.0,0.0,0.0,0.22495964,0.0,1.173485,1.5817133,0.0,0.0,0.0,1.0505778,1.3695432
0.71733373,0.0,0.77978814,0.0,1.1664771,0.93150264,0.8833086,0.7153073,0.0,0.0,0.0,0.0,0.67639744,0.0,0.0
0.0,0.78924084,0.0054080337,0.0,0.21595758,0.027714655,0.46074396,0.0,1.0763088,1.2998683,0.0,0.0,0.0,0.993753,1.0892402
0.2232261,0.35153022,0.31751817,0.0,0.36919534,0.24295188,0.49979395,0.05334279,0.56358445,0.52091545,0.0,0.0,0.31620127,0.3972674,0.36155063
0.49464226,0.05076114,0.5800177,0.0,0.98632365,0.80143183,0.7157707,0.59551454,0.028248692,0.13608804,0.0,0.0,0.46863377,0.043074913,0.083732486
0.0,0.73875,0.048815913,0.0,0.06860368,0.049562067,0.3780039,0.0,1.0454241,1.1843259,0.0,0.0,0.0,0.7601984,0.9099241
0.47072756,0.0,0.74910426,0.0,1.1045378,0.81131035,0.8249338,0.6623414,0.045657285,0.0,0.0,0.0,0.52156687,0.033144712,0.0
0.36843526,0.035640262,0.767342,0.08003841,1.0649921,0.7977991,0.7343128,0.56358457,0.03327234,0.16168016,0.0,0.0,0.45754567,0.19995792,0.09917736
0.70847154,0.0,0.79238343,0.0,1.1855643,0.9232175,0.83444524,0.6937723,0.0,0.0,0.0,0.0,0.6339,0.0,0.0
0.8416562,0.0,0.72105277,0.0,1.1138809,0.99085677,0.8440954,0.66442716,0.0,0.0,0.0,0.0,0.7306671,0.0,0.0
0.77913463,0.0,0.7363429,0.0,1.0810742,0.9490742,0.87679,0.67624784,0.0,0.0,0.0,0.0,0.74361855,0.0,0.0
0.74985147,0.0,0.75909555,0.0,1.1270276,0.94295734,0.8798183,0.6970165,0.0,0.0,0.0,0.0,0.7089622,0.0,0.0
0.8416562,0.0,0.72105277,0.0,1.1138809,0.99085677,0.8440954,0.66442716,0.0,0.0,0.0,0.0,0.7306671,0.0,0.0
0.0,0.93563473,0.0,0.0,0.0,0.0,0.039582327,0.0,1.0065925,1.5111775,0.0,0.0,0.0,0.7998843,1.1379963
0.54029304,0.0,0.5509492,0.0,0.8502668,0.83608776,0.74521923,0.5585841,0.0,0.0,0.0,0.0,0.62663907,0.0,0.0
0.36730915,0.26516885,0.43388748,0.0,0.68409556,0.5347268,0.54305583,0.28479838,0.33099568,0.45538962,0.0,0.0,0.33130497,0.24854834,0.2891582
0.70847154,0.0,0.79238343,0.0,1.1855643,0.9232175,0.83444524,0.6937723,0.0,0.0,0.0,0.0,0.6339,0.0,0.0
0.60454905,0.0,0.77572715,0.0,1.1753588,0.83629507,0.8944844,0.7187441,0.043981142,0.0,0.0,0.0,0.58950174,0.0,0.0
0.0,0.97570914,0.0,0.0,0.0,0.0,0.20392132,0.0,1.0871742,1.3969549,0.0,0.0,0.0,0.82509655,1.0959269
0.0,1.2519134,0.0,0.0,0.0,0.0,0.04502894,0.0,1.6134186,2.4021173,0.0,0.0,0.0,1.707819,2.0772007
0.0,1.4807674,0.0,0.0,0.0,0.0,0.0,0.0,1.5813074,2.3952317,0.0,0.0,0.0,1.8308002,1.947439
0.0,1.3205554,0.0,0.0,0.0,0.0,0.0,0.0,1.4403214,2.2985303,0.0,0.0,0.0,1.418458,1.9223541
0.60454905,0.0,0.77572715,0.0,1.1753588,0.83629507,0.8944844,0.7187441,0.043981142,0.0,0.0,0.0,0.58950174,0.0,0.0
0.61636275,0.0288045,0.52657855,0.0,0.568143,0.5265975,0.61721724,0.3626436,0.088202655,0.0,0.0,0.0,0.6230099,0.0,0.0
0.62218606,0.047356196,0.75134575,0.0,1.1068051,0.91079485,0.7178092,0.61697453,0.0,0.09992504,0.0,0.0,0.5387733,0.07145947,0.0
0.56179404,0.0,0.65106654,0.0,1.029006,0.86944735,0.82272625,0.65815747,0.0,0.0,0.0,0.0,0.5913671,0.0,0.0
0.75288886,0.0,0.79821336,0.0,1.1912612,0.9522095,0.7803465,0.66933334,0.0,0.0,0.0,0.0,0.623368,0.0,0.0
0.8416562,0.0,0.72105277,0.0,1.1138809,0.99085677,0.8440954,0.66442716,0.0,0.0,0.0,0.0,0.7306671,0.0,0.0
0.6916367,0.0024229526,0.79872787,0.0,1.1943905,0.9034828,0.7823583,0.6676008,0.0032605622,0.052180644,0.0,0.0,0.57777035,0.013003558,0.015070774
0.66476834,0.0,0.78191745,0.0,1.1767452,0.8904632,0.89015,0.7191373,0.0,0.0,0.0,0.0,0.64061695,0.0,0.0
0.23770416,0.44673723,0.12959269,0.0,0.3077245,0.24016884,0.39079064,0.0,0.63463837,0.7619388,0.0,0.0,0.16924216,0.4213977,0.5559363
0.0,1.4048862,0.0,0.0,0.0,0.0,0.023984328,0.0,1.781702,2.5237126,0.0,0.0,0.0,1.6617334,2.1224866
0.7710954,0.0,0.78296494,0.0,1.176438,0.96471804,0.83551806,0.69728345,0.0,0.0,0.0,0.0,0.6721704,0.0,0.0
0.70847154,0.0,0.79238343,0.0,1.1855643,0.9232175,0.83444524,0.6937723,0.0,0.0,0.0,0.0,0.6339,0.0,0.0
0.5451628,0.07920913,0.48792145,0.0,0.5276342,0.45156005,0.61197925,0.3134583,0.17760827,0.01458367,0.0,0.0,0.5659815,0.005704358,0.0
0.8416562,0.0,0.72105277,0.0,1.1138809,0.99085677,0.8440954,0.66442716,0.0,0.0,0.0,0.0,0.7306671,0.0,0.0
0.71733373,0.0,0.77978814,0.0,1.1664771,0.93150264,0.8833086,0.7153073,0.0,0.0,0.0,0.0,0.67639744,0.0,0.0
0.0,1.1155314,0.0,0.0,0.0,0.0,0.02331318,0.0,1.2916241,1.9984684,0.0,0.0,0.0,1.2744181,1.8539637
0.66745967,0.0,0.5210571,0.021194976,0.9098466,0.92904705,0.6804124,0.5502323,0.0,0.027219994,0.0,0.0,0.6032132,0.007886745,0.0
0.6916367,0.0024229526,0.79872787,0.0,1.1943905,0.9034828,0.7823583,0.6676008,0.0032605622,0.052180644,0.0,0.0,0.57777035,0.013003558,0.015070774
0.71433467,0.0,0.74122465,0.0,1.1022301,0.91994905,0.87317735,0.6831366,0.0,0.0,0.0,0.0,0.69973004,0.0,0.0
0.08485095,0.65208095,0.39680323,0.4976236,0.7583833,0.6993303,0.30047113,0.0,0.50302523,1.4836433,0.0,0.0,0.15262908,1.2876049,1.0788149
0.0,1.0980006,0.090482965,0.0,0.11866912,0.048974097,0.04697205,0.0,1.2208496,1.9254752,0.0,0.0,0.0,1.5226374,1.3799525
0.65689224,0.0,0.7501663,0.0,1.1251079,0.9104963,0.85887885,0.6923146,0.0,0.0,0.0,0.0,0.6387906,0.0,0.0
0.6234887,0.27002695,0.51756513,0.0,0.6568156,0.53280437,0.41656554,0.21326798,0.22290349,0.375168,0.0,0.0,0.40591353,0.08636199,0.116350606
0.77913463,0.0,0.7363429,0.0,1.0810742,0.9490742,0.87679,0.67624784,0.0,0.0,0.0,0.0,0.74361855,0.0,0.0
0.77913463,0.0,0.7363429,0.0,1.0810742,0.9490742,0.87679,0.67624784,0.0,0.0,0.0,0.0,0.74361855,0.0,0.0
