h_1_0,h_1_1,h_1_2,h_1_3,h_1_4,h_1_5,h_1_6,h_1_7
0.9757979,1.5377998e-05,3.245473e-05,0.9543233,0.9754915,1.5705824e-05,0.034872383,0.017441899
0.038089573,0.017051965,3.567338e-05,0.9529272,0.97780913,1.5467405e-05,3.5852194e-05,0.9530392
0.037557244,0.017064363,0.037984908,0.017273873,0.037941605,0.0176031,3.6120415e-05,0.9536245
3.385544e-05,0.9531008,0.9767635,1.5467405e-05,0.036333323,0.017458469,0.03665507,0.017510653
3.6150217e-05,0.95297575,0.03825739,0.017424196,0.038701236,0.017325968,0.038105875,0.017249584
3.3646822e-05,0.9525366,0.036265373,0.017444849,0.036313504,0.017625123,0.9768193,1.5556812e-05
0.030938327,0.01732248,0.972708,1.5586615e-05,0.97292036,1.579523e-05,0.9729579,1.5735626e-05
0.97681886,1.5377998e-05,3.412366e-05,0.95411956,0.03605002,0.017577887,0.036560804,0.017275661
3.606081e-05,0.9534191,0.9781069,1.5556812e-05,3.6239624e-05,0.9535477,0.03875628,0.017608434
0.97447205,1.5497208e-05,0.03307706,0.01802513,0.033384025,0.01820618,0.9745973,1.5884638e-05
3.567338e-05,0.9530088,0.97779465,1.5437603e-05,3.6001205e-05,0.95334077,0.03832078,0.017474085
0.974671,1.5676022e-05,0.9744987,1.6003847e-05,0.033402264,0.0180341,0.03348258,0.017866045
0.036181867,0.01725465,0.036429793,0.017474115,0.036058784,0.017341644,0.03633958,0.017220706
0.03874278,0.01757574,0.9779843,1.5765429e-05,3.6001205e-05,0.9535228,3.620982e-05,0.95339274
0.03689277,0.017486662,0.036609203,0.017766654,0.03615415,0.017291158,0.036395997,0.017106265
0.97578716,1.5467405e-05,0.03456238,0.017836273,0.03480324,0.017644316,0.034514815,0.017335206
0.038444906,0.0173603,0.03824547,0.01768604,3.606081e-05,0.9539496,0.038553447,0.017529726
0.97306454,1.552701e-05,0.97293997,1.5884638e-05,0.97292864,1.5944242e-05,0.031657875,0.017766833
3.412366e-05,0.9525032,3.3974648e-05,0.95337474,0.97679895,1.5467405e-05,0.9766866,1.5318394e-05
0.97305727,1.5497208e-05,0.03121373,0.01794824,0.9727849,1.5705824e-05,0.9727634,1.5318394e-05
0.97573847,1.5616417e-05,0.9757323,1.5944242e-05,3.2514334e-05,0.9543617,0.035106122,0.017695814
3.3408403e-05,0.9526879,0.9764325,1.5348196e-05,0.0361214,0.017378628,0.036242247,0.01737693
0.97590077,1.5556812e-05,0.03501439,0.017985374,0.0351727,0.018140495,0.03537187,0.017938375
3.4034252e-05,0.95327497,0.9768089,1.5586615e-05,3.4332275e-05,0.95371044,0.97684366,1.5497208e-05
0.97534084,1.54078e-05,0.9753388,1.5676022e-05,0.034216225,0.017634064,3.248453e-05,0.9534035
0.036334366,0.017444313,0.976892,1.564622e-05,3.427267e-05,0.9540216,0.036859304,0.017710984
0.031549662,0.017555475,0.97284305,1.591444e-05,0.97299254,1.579523e-05,0.97300017,1.5586615e-05
0.9769702,1.5497208e-05,0.036547422,0.017788231,0.036837667,0.017992496,3.4689903e-05,0.9542635
0.03632471,0.017320871,0.036500216,0.017596394,3.4093857e-05,0.9534079,0.9766399,1.5318394e-05
0.037121773,0.017507106,0.03645417,0.017775983,0.036750972,0.017458975,0.03629574,0.017234743
0.03754729,0.016943574,3.5345554e-05,0.95281863,0.03774354,0.017364264,0.037952185,0.017158478
0.97709167,1.5556812e-05,0.03680995,0.017912,3.412366e-05,0.9535897,0.036598742,0.017302066
4.029274e-05,0.95282495,4.0352345e-05,0.9532832,4.0203333e-05,0.95303166,0.04265982,0.01728636
3.4213066e-05,0.95300424,0.036619216,0.017608732,0.037129164,0.017877907,0.9770198,1.5765429e-05
3.9577484e-05,0.9522326,3.9726496e-05,0.952562,0.04196915,0.017119735,3.9726496e-05,0.95233345
0.038536012,0.017329961,0.038392693,0.01744479,0.038610965,0.017446786,3.5971403e-05,0.9531088
3.9815903e-05,0.95273626,0.042465925,0.017297775,4.014373e-05,0.95344347,4.0352345e-05,0.9536138
0.037573546,0.017666101,0.036966354,0.017933398,0.036966413,0.017539144,0.03670907,0.017367423
0.035896897,0.017287314,0.97656274,1.552701e-05,3.400445e-05,0.95381653,0.036444277,0.01757583
0.03798762,0.017219692,0.038095713,0.017403424,3.5852194e-05,0.95303583,0.037991554,0.017184675
3.796816e-05,0.9530039,0.0406951,0.017489552,3.8325787e-05,0.9538125,0.04093045,0.01767975
0.032926917,0.017499477,0.9741547,1.5884638e-05,0.0327425,0.017656147,0.97425884,1.5497208e-05
0.97681487,1.552701e-05,0.97676265,1.5735626e-05,3.4093857e-05,0.9539969,3.4362078e-05,0.9536547
3.734231e-05,0.95241356,0.040056318,0.01721552,0.04005772,0.017418176,3.8087368e-05,0.95336246
0.9769175,1.5467405e-05,0.03677374,0.017903209,3.427267e-05,0.9546219,0.037083566,0.01776746
0.9751471,1.5199184e-05,0.034193903,0.017661631,0.03419751,0.017802387,0.034674108,0.017533898
3.412366e-05,0.9531541,0.9766633,1.5497208e-05,0.036932975,0.017627895,0.036554128,0.01764214
