h_2_0,h_2_1,h_2_2,h_2_3
0.018299311,0.021103173,0.020808429,0.93118
0.9308487,0.024488658,0.018397897,0.021597326
0.93567455,0.9351367,0.92729807,0.023147583
0.020645201,0.017590582,0.9370914,0.9370837
0.023039013,0.9260526,0.9349355,0.9356834
0.023691565,0.92834556,0.9286779,0.020267636
0.9328234,0.021140546,0.018334568,0.018171757
0.017689407,0.020493358,0.93731165,0.93754536
0.02095139,0.01767978,0.024231046,0.9298471
0.02036649,0.9292766,0.9288792,0.020200372
0.02101171,0.017719,0.024266958,0.93011117
0.017784268,0.017793387,0.93727714,0.9371318
0.9341655,0.93382263,0.93416774,0.9341011
0.9289861,0.020253599,0.021502167,0.021315783
0.93374836,0.93360794,0.9341507,0.9341285
0.01968366,0.9273236,0.9356586,0.9360366
0.93419075,0.9338267,0.022982657,0.9263891
0.018476158,0.018552005,0.020850062,0.93091094
0.022043556,0.021759719,0.018696517,0.018846124
0.02112934,0.93219054,0.018309057,0.018284082
0.017956257,0.017897218,0.02377963,0.9302204
0.020705163,0.01763177,0.93721616,0.9373132
0.019667983,0.9270382,0.9352782,0.935407
0.021500856,0.018194139,0.021668434,0.018621802
0.018289626,0.018238753,0.93147945,0.023984432
0.9279841,0.01980117,0.023426712,0.92810667
0.93244517,0.02111864,0.018325627,0.018166661
0.020168424,0.9284868,0.92880356,0.02349317
0.93665665,0.93585205,0.020649105,0.017688513
0.93364096,0.9336718,0.9338155,0.9341107
0.9271577,0.023059785,0.9356293,0.9358303
0.019837618,0.9271959,0.02344364,0.9287492
0.021251082,0.021007478,0.024696678,0.92981
0.02361396,0.9280989,0.9281734,0.020237327
0.021674722,0.021458298,0.9301176,0.02520731
0.9351355,0.93487763,0.92705816,0.023230165
0.024234474,0.9271911,0.021755576,0.02179423
0.9333679,0.9333731,0.93368345,0.9338711
0.9282675,0.01984772,0.023461074,0.9283674
0.93445194,0.9340185,0.023130804,0.92683256
0.023423135,0.9258394,0.023713797,0.9278141
0.9300859,0.020291865,0.9295975,0.020154625
0.01841268,0.01831907,0.021800607,0.021686882
0.023889363,0.9274058,0.928483,0.024085045
0.01986289,0.9272219,0.023273647,0.92829275
0.019772917,0.9275882,0.93584603,0.9358859
0.020638257,0.017603219,0.9367682,0.9370655
0.0185965,0.018438637,0.021260649,0.018580258
0.9379392,0.9377439,0.017884731,0.020630479
0.9299448,0.02048847,0.020286322,0.9289118
0.9362042,0.9357015,0.92766905,0.019716442
0.93641025,0.9356657,0.02051884,0.017644554
0.9318489,0.020982862,0.018398076,0.020960182
0.93020636,0.020541579,0.020308554,0.9291513
0.019154936,0.019133836,0.018845737,0.01870516
0.023574322,0.9280745,0.9284525,0.020282567
0.9296001,0.023732603,0.021354944,0.0182302
0.024038017,0.9282467,0.021206915,0.018193513
0.9340158,0.93390286,0.9342794,0.9343649
0.93470377,0.9346615,0.9270382,0.023280025
0.93624604,0.9356878,0.92719835,0.019689977
0.9279026,0.019714653,0.9359686,0.93548197
0.9278909,0.023710996,0.92847294,0.024110675
0.01893273,0.018975765,0.018890202,0.021375388
0.021247178,0.01833406,0.020749599,0.93091774
0.018308103,0.020886362,0.9311209,0.020880282
0.9365903,0.9359056,0.9276861,0.019721061
0.018425703,0.018339962,0.9310181,0.020705968
0.93585193,0.935481,0.92718065,0.019685417
0.9291707,0.023365527,0.92869294,0.020279557
