h_2_0,h_2_1,h_2_2,h_2_3
0.99477386,0.9999075,-0.745147,-0.9999963
1.0,-0.99893904,-0.19162829,-0.99999964
1.0,-0.99966,-0.1902339,-0.9999996
1.0,-1.0000001,-0.031507477,-0.9999999
-0.99957746,1.0,-0.36027405,-0.999568
0.9985685,0.9957412,-0.5511958,-0.99998766
0.97457916,0.9992852,-0.49608117,-0.9999932
0.9999998,-0.9956977,-0.29534712,-0.9999984
-0.99965507,1.0,-0.3870997,-0.99950516
0.99776626,0.99391615,-0.5795692,-0.99998367
0.9597228,0.9993375,-0.48530143,-0.9999924
0.99999964,-0.99534255,-0.29086328,-0.99999803
-0.99999785,1.0,0.01806747,-0.86461836
-0.99791425,0.9999994,-0.28771356,-0.9991499
-0.999366,0.9999999,-0.20943904,-0.99987954
0.99592,0.99271125,-0.3558461,-0.99998856
1.0,-0.9989421,-0.19150862,-0.9999998
1.0,-0.9999997,-0.024718693,-0.99999976
1.0,-1.0,-0.032225087,-0.9999999
1.0,-1.0,-0.1698588,-0.9999999
0.9936381,0.99890584,-0.54345775,-0.99999183
0.99999976,-0.9903965,-0.31052068,-0.9999984
0.9999999,-0.99555105,-0.27098545,-0.9999989
1.0,-1.0,0.20552132,-0.9999995
0.98946816,0.99849385,-0.57075,-0.99998903
0.9999997,-0.9934932,-0.37059376,-0.9999978
0.9999997,-0.99515164,-0.2648572,-0.99999875
1.0,-1.0,0.18508239,-0.9999994
-0.99926925,0.9999999,-0.28016186,-0.99965966
0.9981158,0.9856243,-0.4434761,-0.9999807
0.97700167,0.99838686,-0.31521574,-0.9999915
0.9999974,-0.8994918,-0.36235645,-0.9999965
1.0,-0.99859345,-0.19192083,-0.99999976
1.0,-0.99999964,-0.028937042,-0.9999999
1.0,-0.9999999,-0.028773742,-0.9999999
1.0,-1.0,-0.16996299,-1.0
0.99752045,0.9982521,-0.55479646,-0.99999285
0.9999999,-0.9862982,-0.31977928,-0.99999887
0.9999999,-0.9943079,-0.2831473,-0.999999
1.0,-1.0,0.1798528,-0.9999995
0.9959702,0.9974656,-0.58248776,-0.9999905
0.99999964,-0.99095243,-0.38085827,-0.99999803
0.9999997,-0.9939893,-0.27873117,-0.9999988
1.0,-1.0,0.15693207,-0.9999995
-0.99864864,0.9999998,-0.280523,-0.99965054
0.9989248,0.97947335,-0.44333902,-0.99998134
0.9911806,0.99679154,-0.3159262,-0.9999922
0.99999756,-0.87973106,-0.35461718,-0.9999967
1.0,-0.99999964,-0.02904348,-0.9999998
1.0,-0.9999999,-0.16938537,-1.0
1.0,-1.0,-0.17001246,-0.9999998
1.0,-1.0,-0.05856377,-0.99999994
1.0,-0.9876119,-0.29683644,-0.99999917
1.0,-0.9999997,0.23130657,-0.99999976
1.0,-1.0,0.20007311,-0.9999999
1.0,-1.0,-0.22513977,-0.9999999
0.9999998,-0.9918348,-0.35738593,-0.9999987
1.0,-0.99999994,0.13736168,-0.9999996
1.0,-1.0,0.17706582,-0.99999964
1.0,-1.0,-0.34546176,-0.9999999
0.9968774,0.99241114,-0.40823504,-0.999988
0.99999726,-0.8774809,-0.45858347,-0.9999953
0.99999803,-0.88806504,-0.3104222,-0.9999979
1.0,-1.0,0.55455333,-0.9999982
-0.99936736,0.9999998,-0.29854247,-0.99959105
0.9991579,0.9946896,-0.53190327,-0.99998885
0.9869141,0.99898183,-0.4852724,-0.99999404
0.99999976,-0.99644744,-0.2993607,-0.9999986
-0.99999774,1.0,0.05742607,-0.8487154
-0.99590063,0.99999917,-0.2580557,-0.9991734
-0.9990816,0.9999999,-0.20109268,-0.9998782
0.9979762,0.98869747,-0.37304723,-0.9999893
-0.9999978,1.0,0.05207088,-0.8526205
-0.99690247,0.9999993,-0.2697496,-0.9991316
-0.9992179,1.0,-0.19988598,-0.99987626
0.99722207,0.990472,-0.36099303,-0.9999886
-0.99999976,1.0,0.50115967,0.9921191
