h_1_0,h_1_1,h_1_2,h_1_3,h_1_4,h_1_5,h_1_6,h_1_7
-0.96244055,0.7960634,0.84743255,-1.0,0.9999997,-0.82554054,0.9999995,0.94237936
-0.9211123,0.45087776,0.57436764,-1.0,0.9999784,-0.71544594,0.999956,0.8844565
-0.90413046,-0.65392536,-0.67890316,-0.9999988,0.9945531,-0.97742563,0.99626803,0.8054365
-0.7371161,-0.9542499,-0.95858455,-0.99862957,0.20755772,-0.9904822,0.54346025,0.6842113
0.10615422,-0.9993336,-0.99962866,0.9978855,-0.99965775,-0.9989582,-0.99917835,0.49202392
-0.9614715,0.85845834,0.9343869,-1.0,0.99999964,-0.3887759,0.99999934,0.94547254
-0.9126968,0.16988766,0.0945508,-1.0,0.9999845,-0.9418803,0.99996716,0.9141995
-0.81208616,-0.7138826,-0.77152383,-0.9999996,0.99145496,-0.9749283,0.9950623,0.7727892
-0.98092747,0.9111213,0.95695806,-1.0,0.9999998,-0.38493216,0.99999946,0.9082891
-0.490944,-0.9582249,-0.96923697,-0.9994901,0.58353156,-0.9896603,0.5636079,0.652719
-0.9870149,0.98310214,0.9925276,-1.0,1.0,0.024748754,1.0,0.9682929
0.012169177,-0.9991942,-0.9996075,0.9975745,-0.99941933,-0.9989688,-0.9987912,0.30955538
-0.90678823,0.27966067,0.5501471,-1.0,0.99995327,-0.69141006,0.99992704,0.8595699
-0.93950397,0.4495361,0.5540622,-1.0,0.99997234,-0.7582098,0.9999625,0.9494962
-0.8439615,-0.940829,-0.94941676,-0.9971049,0.38176376,-0.9920131,0.6694423,0.63657695
-0.43662673,-0.9884515,-0.98785424,-0.08419219,-0.9742946,-0.9833669,-0.9426762,0.5996769
-0.576394,-0.9204624,-0.9281447,-0.9993393,0.331383,-0.9564402,0.55815667,0.7078533
-0.885354,-0.70498616,-0.6936046,-0.9999986,0.9907746,-0.9771928,0.9945132,0.86987686
-0.33795124,-0.99477965,-0.9967506,-0.3792153,-0.9736188,-0.99693304,-0.9237795,0.34094036
-0.7311302,-0.93254966,-0.90207493,-0.99938166,0.18366326,-0.9569057,0.47577956,0.6990166
-0.96034044,0.21462387,0.2413593,-1.0,0.9999613,-0.9463977,0.9999653,0.9230836
-0.9788225,0.839606,0.87388873,-1.0,0.9999998,-0.85162526,0.9999997,0.93211806
-0.9782714,0.88949853,0.94620365,-1.0,0.9999999,-0.46087864,0.9999997,0.93574405
-0.9138945,0.067977324,0.08698194,-1.0,0.9999803,-0.93689716,0.99996305,0.8424818
-0.37559614,-0.94064957,-0.95018065,-0.99980474,0.508086,-0.95725965,0.59010404,0.7323672
-0.5859915,-0.9898808,-0.98612726,-0.15137814,-0.98245525,-0.9846502,-0.9482171,0.46515706
-0.7647978,-0.9620142,-0.9511229,-0.9988429,0.4105596,-0.9913282,0.4876828,0.71464276
-0.6464508,-0.94986624,-0.9693581,-0.9990188,0.6700999,-0.9915085,0.7209678,0.7582619
-0.8903838,-0.64283633,-0.7267248,-0.999999,0.994166,-0.9789347,0.99669194,0.73642516
-0.5400102,-0.95677316,-0.97593457,-0.99895054,0.47156867,-0.9919976,0.6509306,0.7776945
-0.67802095,-0.7531538,-0.823394,-1.0,0.9985793,-0.9759556,0.99679804,0.8033108
-0.63882965,-0.9261653,-0.9270002,-0.9995571,0.65618134,-0.9614824,0.67404485,0.7700693
-0.75871474,-0.7275995,-0.76420736,-0.9999995,0.99629235,-0.9752379,0.9948223,0.8553096
-0.97194356,0.88533497,0.9209444,-1.0,0.99999976,-0.49620363,0.9999996,0.9496393
-0.83159167,-0.90973556,-0.8602854,-0.9979086,-0.029985016,-0.95607966,0.43807063,0.67202646
