h_3_0,h_3_1,h_3_2,h_3_3
0.82661456,1.0,0.9998313,-0.9803964
-0.98285115,0.62036157,0.09435622,0.8525647
-0.9955604,-0.9998098,0.975199,0.979999
-0.9777686,0.87200123,-0.68849206,0.79000586
-0.45898446,-1.0,-1.0,0.48278305
0.75696915,1.0,0.99998885,-0.95873576
-0.98502505,0.45785567,0.019088274,0.870636
-0.9941788,-0.99814177,0.93616503,0.96947986
0.77110326,1.0,0.9999865,-0.96256155
-0.9802934,0.92654365,-0.44420117,0.80720973
-0.35064873,0.9999988,1.0,0.9452293
-0.45736644,-1.0,-1.0,0.48030505
-0.9861074,0.1504231,0.17560847,0.88492924
-0.9846703,0.45369354,0.07396308,0.86888325
-0.9829584,0.6826266,-0.24636579,0.84703404
0.7868761,-0.9999994,-1.0,-0.9587014
-0.97986156,0.9207022,-0.49384716,0.80394256
-0.9961827,-0.9999466,0.9854384,0.9842074
0.79861355,-0.99999905,-1.0,-0.9625416
-0.97728026,0.8808626,-0.7135116,0.7846633
-0.9846956,0.5274202,-0.019825242,0.86639446
0.8536014,1.0,0.99985933,-0.9837871
0.8007444,1.0,0.99997574,-0.9707331
-0.98499453,0.46466047,0.015426781,0.8702429
-0.98000073,0.9347913,-0.46531436,0.803101
0.78991735,-0.9999994,-1.0,-0.959713
-0.98093605,0.8491511,-0.43260494,0.8209735
-0.9842687,0.5965262,-0.07191132,0.8610794
-0.9946911,-0.9991438,0.9536165,0.9735587
-0.98091614,0.8979025,-0.40250582,0.81665033
-0.99180084,-0.96724397,0.7988152,0.94811803
-0.9838045,0.6702646,-0.1233805,0.8549835
-0.9940493,-0.9977644,0.9311407,0.968418
0.8105444,1.0,0.9999694,-0.97326684
-0.9555583,0.491143,-0.99267656,0.6313026
-0.9799013,0.9397253,-0.46937814,0.8012743
-0.45481017,-1.0,-1.0,0.47638398
0.7848066,1.0,0.99998224,-0.9665423
-0.9826844,0.67597306,0.02605635,0.8487772
-0.98275185,0.7931953,-0.23211281,0.84089935
-0.9799756,0.9261458,-0.47728175,0.8042382
0.81178164,1.0,0.9999699,-0.97344685
-0.98418957,0.5842074,-0.08832871,0.8606755
0.79867995,-0.99999905,-1.0,-0.9625634
-0.985152,0.38791287,0.079964064,0.87354136
-0.98516643,0.33504912,0.13380606,0.8751816
0.79606164,1.0,0.99997807,-0.9695201
-0.9802751,0.9021284,-0.46844333,0.8101621
-0.47806758,-1.0,-1.0,0.51177144
-0.99445295,-0.99876076,0.9459785,0.9716864
-0.99451077,-0.99886566,0.94790816,0.972146
0.38880804,-1.0,-1.0,-0.71691906
-0.99161905,-0.9607294,0.78421044,0.9463368
-0.99580044,-0.9998808,0.9796065,0.9816635
0.75520825,1.0,0.99998957,-0.95800406
-0.99424577,-0.99831337,0.9386712,0.9700237
-0.9954215,-0.9997534,0.9723604,0.9790124
-0.98616177,0.09543597,0.21745445,0.8865235
-0.99459034,-0.99899644,0.95048,0.97277075
-0.9838538,0.5166624,0.10814096,0.862308
-0.9800507,0.8915168,-0.4987244,0.80918556
-0.98454607,0.5564887,-0.037264485,0.86445546
