h_6_0,h_6_1
1.0,8.80739e-10
1.1862924e-09,1.0
1.0,8.9980234e-10
1.1798793e-09,1.0
1.7377721e-09,1.0
1.0,8.931066e-10
1.1860933e-09,1.0
1.0,9.117366e-10
1.0,8.905041e-10
1.1799783e-09,1.0
1.7960428e-09,1.0
1.7475709e-09,1.0
1.221934e-09,1.0
1.1884961e-09,1.0
1.180773e-09,1.0
1.0,1.6681196e-09
1.179949e-09,1.0
1.0,8.975004e-10
1.0,1.6598583e-09
1.1798658e-09,1.0
1.1839416e-09,1.0
1.0,8.774978e-10
1.0,8.853505e-10
1.18584e-09,1.0
1.1799604e-09,1.0
1.0,1.6659352e-09
1.1800594e-09,1.0
1.1823934e-09,1.0
1.0,9.0585345e-10
1.1800368e-09,1.0
1.0,1.0106606e-09
1.1814196e-09,1.0
1.0,9.135992e-10
1.0,8.8377977e-10
1.1800548e-09,1.0
1.1799558e-09,1.0
1.7635261e-09,1.0
1.0,8.880176e-10
1.1832575e-09,1.0
1.180478e-09,1.0
1.1799558e-09,1.0
1.0,8.8361124e-10
1.1823258e-09,1.0
1.0,1.6598138e-09
1.1907583e-09,1.0
1.1979067e-09,1.0
1.0,8.8611923e-10
1.1799828e-09,1.0
1.6378346e-09,1.0
1.0,9.083189e-10
1.0,9.076798e-10
1.0,2.8369231e-09
1.0,1.0322465e-09
1.0,8.9875607e-10
1.0,8.935019e-10
1.0,9.108397e-10
1.0,9.005166e-10
1.2485515e-09,1.0
1.0,9.0684577e-10
1.1890652e-09,1.0
1.1799648e-09,1.0
1.1832643e-09,1.0
1.0,8.855177e-10
1.215574e-09,1.0
1.0,1.6597759e-09
1.1878819e-09,1.0
1.0,8.9841673e-10
1.0,9.126378e-10
1.0,1.6598328e-09
1.0,9.1308355e-10
1.2049692e-09,1.0
1.1900794e-09,1.0
1.0,8.877432e-10
1.0,9.0755176e-10
1.1801337e-09,1.0
1.0,9.0819935e-10
1.0,9.2392777e-10
1.0,1.6597632e-09
1.7456188e-09,1.0
1.186324e-09,1.0
1.1813024e-09,1.0
1.0,9.0547e-10
1.1799468e-09,1.0
1.1955601e-09,1.0
1.0,8.96857e-10
1.1860526e-09,1.0
1.1800908e-09,1.0
1.0,9.0320695e-10
1.7667346e-09,1.0
1.1798793e-09,1.0
1.1800143e-09,1.0
1.0,8.7778573e-10
1.1849537e-09,1.0
1.0,9.125734e-10
1.0,9.2617913e-10
1.0,1.6600925e-09
1.0,9.39484e-10
1.1885936e-09,1.0
1.0,8.922893e-10
1.1815007e-09,1.0
1.0,9.037653e-10
1.0,9.533e-10
1.1799873e-09,1.0
1.1799738e-09,1.0
1.0,8.970127e-10
1.1803295e-09,1.0
1.7389592e-09,1.0
1.0,8.983242e-10
1.0,9.0255253e-10
1.0,8.80116e-10
1.2035772e-09,1.0
1.0,1.6716709e-09
1.0,1.6598012e-09
1.1848948e-09,1.0
1.0,1.6597822e-09
1.1800233e-09,1.0
1.2045785e-09,1.0
1.0,1.6600038e-09
1.231445e-09,1.0
1.0,1.6608462e-09
1.1806942e-09,1.0
1.0,9.078634e-10
1.1860458e-09,1.0
1.0,9.069409e-10
1.1798613e-09,1.0
1.180942e-09,1.0
1.2011097e-09,1.0
1.1800099e-09,1.0
1.1798793e-09,1.0
1.0,8.8869534e-10
1.0,9.263876e-10
1.7739269e-09,1.0
1.2258231e-09,1.0
1.0,9.342074e-10
1.0,9.192135e-10
1.7163475e-09,1.0
1.0,9.233781e-10
1.1799648e-09,1.0
1.718621e-09,1.0
1.0,8.946615e-10
1.1800864e-09,1.0
1.0,8.8378316e-10
1.0,9.657963e-10
1.1812439e-09,1.0
1.0,8.8973673e-10
1.0,1.6598583e-09
1.1798658e-09,1.0
1.0,9.0566343e-10
1.1889473e-09,1.0
1.0,9.220353e-10
