h_1_0,h_1_1,h_1_2,h_1_3,h_1_4,h_1_5,h_1_6,h_1_7
-0.873087,-0.21002914,-0.8905916,0.18837652,-0.40334457,0.47553962,-0.7475554,-0.79413867
-0.120991975,-0.44772297,-0.8270578,-0.8532513,0.7231321,-0.8573837,-0.9925353,-0.9956879
-0.96293056,0.74390674,0.35369202,-0.032359976,-0.9605162,0.853376,0.89305747,0.8638315
-0.9731281,0.37540248,0.008565297,-0.4008335,-0.91402394,0.7930737,0.45953253,0.5835229
0.021030482,0.7016458,0.5919593,-0.076456524,-0.7776768,0.6212994,0.45515418,0.61037517
-0.8094779,0.38404068,-0.84988445,0.06592805,0.4776573,0.78147733,-0.8584621,-0.5756291
0.31163806,-0.13552703,-0.70121443,-0.10580167,-0.17330596,-0.62364215,-0.8491544,-0.96014977
-0.96272653,-0.21962906,-0.7034502,-0.34994355,-0.72626185,0.56863284,-0.5096047,-0.5199785
-0.008062843,-0.41861993,-0.7344746,-0.6674149,0.3544928,-0.44950455,-0.9801978,-0.9734931
-0.13023421,-0.84630245,-0.89151317,-0.7855988,0.3283407,-0.8519742,-0.99446005,-0.99672157
-0.74519575,0.7483809,-0.7136803,0.42869267,0.118298665,0.8448666,-0.3340304,-0.015439356
-0.10501569,0.71280885,0.68755,-0.24086864,-0.8681707,0.51706165,0.59245336,0.62448215
-0.8886354,-0.13648926,-0.89652246,-0.4584417,0.56141394,0.6078925,-0.9665717,-0.85475993
-0.96127224,0.9305037,0.21381177,-0.48794466,-0.50020564,0.5397957,0.7188462,0.4692754
-0.3507917,0.4678888,0.66628766,-0.25389686,-0.95103353,0.5586151,0.60557586,0.61448175
-0.66256905,0.1033438,0.09171691,-0.9371599,0.07635818,-0.5125102,-0.90863395,-0.8719454
-0.5588322,-0.4732495,-0.6587987,-0.9295311,0.60890806,-0.761716,-0.98854923,-0.98870057
-0.9525179,0.73376447,0.2041317,0.1358732,-0.93107396,0.8902737,0.84731984,0.8579297
0.010916156,-0.24842626,-0.15872973,-0.11625581,-0.6844526,0.63435984,-0.67868745,-0.23422107
-0.9585506,0.7668723,0.17576416,-0.4999739,-0.539795,0.9233977,0.17482631,0.7984878
-0.93475753,0.9053843,0.5139861,0.48460796,-0.96849805,0.92345923,0.9750965,0.9584013
0.41022623,-0.10019757,-0.5575755,0.34143978,-0.6160906,0.06825421,-0.64237314,-0.77560186
0.57588965,0.47573552,-0.43030018,0.22706392,0.22498648,0.5372701,-0.7940435,-0.5424345
-0.79974043,0.22647645,-0.75415796,0.46003953,-0.6294444,0.8016504,-0.29742533,-0.12919496
-0.9540471,0.34424052,-0.73770845,-0.74065536,0.5156656,0.36109585,-0.8794156,-0.78690875
-0.29988033,0.5086325,0.545525,-0.65067816,-0.45724222,0.7504494,-0.5067017,0.46389863
0.44676775,0.35774115,0.17022508,0.36269614,-0.7508875,0.7835671,-0.17125282,0.4615026
-0.9703484,0.7274734,0.12856418,-0.45761603,-0.88726693,0.43750608,0.7379297,0.3753707
-0.19747193,-0.110150665,-0.078464694,-0.1976748,-0.8372226,0.1941594,-0.34257656,-0.48385683
-0.18503109,-0.16718249,-0.44754118,-0.4567067,-0.36450216,-0.42013034,-0.7771661,-0.89850307
