h_5_0,h_5_1
0.99773836,0.99801296
-0.9682981,-0.9681242
0.9503973,0.9567153
-0.9594149,-0.9608764
-0.97055995,-0.97150326
0.99736166,0.9976715
-0.9586507,-0.9662131
0.9785579,0.9797402
0.98397416,0.9851925
-0.9714676,-0.97134995
-0.99904674,-0.99909025
-0.979448,-0.9802909
-0.9782596,-0.9824577
-0.98213035,-0.983048
-0.9973636,-0.99751854
0.95418674,0.95609194
-0.99217314,-0.99226964
0.9723895,0.97622156
0.9912633,0.99199617
-0.97878635,-0.97976357
-0.94227105,-0.9430358
0.9981146,0.9983515
0.99829817,0.998516
-0.999178,-0.999211
-0.9753992,-0.9801593
0.98901963,0.9898681
-0.99686193,-0.99703455
-0.96369916,-0.96512425
0.9860181,0.9869856
-0.97794765,-0.982199
0.9974546,0.9977554
-0.98229444,-0.9832069
0.977394,0.9790637
0.9854536,0.98762286
-0.9637548,-0.97036606
-0.97920346,-0.9831935
-0.97582984,-0.9803865
0.9917244,0.9924405
-0.965084,-0.97164536
-0.9794205,-0.98340356
-0.962298,-0.9692848
0.997049,0.99738574
-0.9672114,-0.97324806
0.9443459,0.9513226
-0.97401506,-0.9790286
-0.97574806,-0.9804491
0.94216615,0.94935805
-0.96915555,-0.974994
-0.99754024,-0.99768233
0.9693675,0.9735575
0.9800211,0.9811752
0.9781369,0.9793416
0.9977907,0.9980601
0.99496406,0.9954641
0.9858251,0.9869658
0.9930751,0.99369293
0.9816352,0.98431456
-0.9764591,-0.9810189
0.99648565,0.9968709
-0.9797957,-0.98062015
-0.99714196,-0.997299
-0.9720105,-0.97728753
0.9872551,0.9881594
-0.9767195,-0.9777001
0.99696285,0.9973074
-0.97829604,-0.9824937
0.98835427,0.9901273
0.9718905,0.97356874
0.9639112,0.9687555
0.99647427,0.9968597
-0.970611,-0.9716182
-0.9543285,-0.9551398
0.9954673,0.9959287
0.990114,0.9916386
-0.97224617,-0.9775517
0.99156374,0.9922732
0.97405237,0.97534853
0.9689556,0.9707707
-0.97246087,-0.97767997
-0.9773002,-0.98167604
-0.99326575,-0.993603
0.9892597,0.99007976
-0.99543136,-0.9956815
-0.9726768,-0.97779536
0.9713181,0.97300476
-0.972096,-0.9728443
-0.9732006,-0.9740899
0.99482703,0.995336
-0.98163295,-0.98514265
-0.99642605,-0.996627
-0.96517473,-0.9716565
0.9812866,0.9840116
-0.97790736,-0.98217297
0.9761201,0.97759527
0.9959844,0.996409
0.9874832,0.988374
0.98575824,0.98671997
-0.9781782,-0.98238665
0.9781265,0.97930604
-0.9526148,-0.95342517
0.9976492,0.997933
0.9915348,0.9922891
-0.99489814,-0.995168
-0.9518649,-0.9510638
0.99542606,0.99589056
-0.9970046,-0.9971705
-0.9633569,-0.9644194
0.9869189,0.9888902
0.9745937,0.9781687
0.9889796,0.9906653
-0.99004996,-0.99055046
0.9647746,0.9695197
0.97791415,0.9796126
-0.97801274,-0.98223394
0.9729429,0.97458774
-0.9777792,-0.98210204
-0.97709537,-0.9815155
0.99664205,0.9970134
-0.99265087,-0.99302626
0.9836299,0.9846778
-0.98118985,-0.981937
0.998344,0.9985569
-0.99830574,-0.9983978
0.97144043,0.97275186
-0.9902126,-0.9906983
-0.9971964,-0.9973525
-0.99415857,-0.99449027
-0.97698385,-0.9813473
-0.9721158,-0.9774358
0.99647665,0.9968615
0.9711546,0.9727278
-0.9640789,-0.9707737
-0.99143076,-0.9918565
0.9888346,0.9896768
0.9928295,0.99346477
-0.97229993,-0.9775369
0.99115974,0.9918868
-0.97686404,-0.98135656
-0.9772466,-0.981636
0.97310126,0.9747198
-0.99490505,-0.9951773
0.9630207,0.96799284
0.9689343,0.9706435
-0.99631214,-0.9965159
0.9952975,0.9957726
0.9917612,0.9924598
-0.9802173,-0.98405135
0.98013353,0.9812756
-0.95660406,-0.96456176
0.99084836,0.99159306
