h_1_0,h_1_1,h_1_2,h_1_3,h_1_4,h_1_5,h_1_6,h_1_7,h_1_8,h_1_9
-0.7244804,0.6661545,-0.78497916,0.88948864,-0.7977155,0.6239519,0.66994363,-0.81753737,0.7313422,0.6237035
-0.5541001,0.45981917,-0.108694844,-0.21075615,-0.56016535,0.56335014,0.5744032,-0.37089267,0.26792023,0.060268726
-0.58681315,0.4297985,-0.13804355,0.10037499,-0.41349283,0.643394,0.6644513,0.09560713,0.438067,0.11465727
-0.5584081,0.3173232,0.002444096,0.4333961,-0.4461827,0.537493,0.57733184,-0.509449,0.5162903,0.5210055
-0.87753826,0.55098176,-0.001771927,-0.21409003,-0.6833912,0.7286273,0.7121255,-0.28439078,0.6622022,0.2712383
0.16375406,-0.44319698,0.13995609,0.15940234,0.02939773,-0.099864274,-0.012287809,0.12879428,-0.19558801,-0.30448475
-0.7837759,0.60912037,0.1353309,-0.20694973,-0.45748055,0.63109165,0.586659,0.010467286,0.5865922,0.2213365
-0.5149685,0.31896248,-0.63058287,0.10413271,-0.48336506,0.55824286,0.59028,-0.56432766,0.19329165,0.4715157
-0.7929909,0.75353235,-0.57531196,0.55871665,-0.7211027,0.8602031,0.7516036,-0.48452055,0.7887169,0.56165546
-0.06895634,0.19594689,-0.42850003,-0.09352796,-0.27631065,-0.13471742,0.39530686,-0.025199313,0.40897205,0.24533986
-0.6259194,0.51433045,-0.614134,0.7993152,-0.54660076,0.5840408,0.46149182,-0.6757625,0.48840344,0.62376404
-0.8364602,0.41499957,0.10248895,-0.2398559,-0.53478056,0.79494405,0.4242471,-0.11894133,0.5137873,0.22078972
0.070137106,-0.016025197,-0.15816109,-0.019988317,0.072661206,-0.23599437,0.008955202,0.23468179,0.0026474672,-0.3519241
-0.26502055,0.13221261,-0.2164535,0.437368,-0.36986303,0.5772735,0.59115887,-0.59919643,0.27900928,0.28551093
-0.5891421,0.19394909,0.4340652,-0.5066151,-0.36507943,0.40766877,0.4211074,-0.06419533,0.38772494,-0.09983055
-0.36558717,0.28931984,-0.60174227,0.5156528,-0.333638,0.4273531,0.5462247,-0.41369078,0.47731596,0.22594456
-0.8948949,0.6720263,0.1718104,0.15176761,-0.67147577,0.9410671,0.77481914,-0.43108144,0.69990563,0.42003146
-0.74494725,0.458182,0.42871118,-0.33896205,-0.4390339,0.4866853,0.32432416,-0.026485719,0.45640087,0.06673086
-0.86787945,0.68665737,0.0043825046,0.08493383,-0.6623716,0.8602589,0.70794266,-0.38623473,0.5973305,0.048257336
-0.5145483,0.4522885,-0.20094351,0.428831,-0.4538622,0.50142574,0.6080887,-0.24009223,0.426151,0.06671445
0.011008691,0.24266034,-0.10764429,0.3154497,-0.2593951,-0.028908027,0.060952898,-0.4641241,-0.24925676,0.027420374
0.016699737,0.3372307,0.8643322,-0.83661497,-0.5649778,0.03373192,0.11915109,0.50998586,-0.018269546,-0.43984684
-0.7593142,0.5783786,-0.68814033,0.75905836,-0.62423855,0.7063871,0.6679973,-0.7375913,0.78763306,0.32761586
-0.7314358,0.66681087,-0.10502955,0.03494346,-0.57765144,0.5871739,0.60797864,-0.42009386,0.6405686,0.050254162
-0.6874018,0.4213995,0.10122794,-0.6380036,-0.40911052,0.6392617,0.49219778,0.21464407,0.5924188,0.15459177
-0.22248212,0.49195436,0.75245667,-0.76433015,-0.47300035,0.019685857,0.08776168,0.5278996,-0.0072202766,-0.42946288
-0.70419925,0.39570183,0.36904672,-0.5901013,-0.4520742,0.35308942,0.36702654,0.1267678,0.33339122,-0.16682468
-0.91215634,0.6889031,-0.3513621,0.30177036,-0.74130183,0.8783808,0.75454056,-0.5358833,0.80274427,0.2161283
-0.6855891,0.51923203,0.16144843,-0.4446412,-0.55895,0.56060255,0.50605464,-0.16722773,0.39349952,0.11594118
-0.35917008,0.31480885,-0.5104277,0.56852406,-0.34683743,0.5674385,0.3285152,-0.3588278,0.19009708,0.4709905
-0.6471417,0.073630534,-0.58836114,0.7091267,-0.35687375,0.71272993,0.55785507,-0.60182816,0.3786862,0.5989135
-0.72401154,0.52769536,0.08438494,-0.26640236,-0.552999,0.5457844,0.5794111,-0.18524839,0.5106027,-0.064238615
0.18546176,-0.09154469,0.11777255,-0.3722374,0.31709313,-0.44681245,-0.15222771,0.37056258,-0.28088307,-0.25129586
-0.41994733,0.1282074,-0.2129782,0.5106726,-0.2258537,0.45631105,0.35423625,-0.54147696,0.3760516,0.22619179
-0.33672354,0.5245519,-0.43356982,0.24043226,-0.45362726,-0.001047026,0.3806834,-0.33853316,0.3463276,0.25388086
-0.4532553,0.04130317,-0.50023645,0.5926462,-0.2723296,0.5973622,0.25729445,-0.50917697,0.49206758,0.3673753
-0.7606915,0.76157033,-0.049655996,-0.01273903,-0.695067,0.5790871,0.71345806,-0.4307537,0.539529,0.28871658
-0.31177047,0.5801018,0.20786689,0.17678556,-0.24061786,0.11836719,0.32099235,0.08777251,0.5082932,0.03867724
0.058405764,-0.43908706,-0.27133727,-0.2675289,0.39243278,-0.18036449,-0.18975733,-0.083784096,-0.14799002,-0.275193
-0.55626446,0.31363755,-0.45599017,0.36405146,-0.29868996,0.45563826,0.39955887,-0.4261724,0.55855036,0.2607182
-0.44881076,0.32932532,-0.38146108,0.26172048,-0.15803628,0.3598621,0.4678096,-0.40019515,0.4626994,0.07784067
-0.5172398,0.47169822,-0.6791275,0.4722112,-0.48962578,0.58501726,0.401879,-0.6478502,0.6016902,0.56424546
0.5280586,0.09237694,0.32379624,-0.4369782,0.037237637,-0.5580012,-0.4523964,0.312979,-0.48305395,-0.21231996
-0.76730734,0.5496724,-0.43872803,0.67987514,-0.6111591,0.70506006,0.76179177,-0.46714324,0.507842,0.47310382
-0.55306494,0.10296329,-0.48071766,0.6705958,-0.3927531,0.6819067,0.3893261,-0.6424804,0.5064494,0.3010649
-0.82666206,0.4615694,-0.76022494,0.80969626,-0.6869426,0.80293304,0.765045,-0.6208078,0.8090346,0.5872051
-0.68425,0.49776635,-0.49699724,0.73821276,-0.5912873,0.6911582,0.6109576,-0.56211466,0.5530376,0.60465443
-0.6987076,0.29733816,-0.5862613,0.6313505,-0.42528477,0.6342061,0.57652354,-0.5698194,0.5665141,0.50600994
-0.7787619,0.59171,-0.06111157,0.6270716,-0.6146033,0.7383231,0.5346544,-0.3794713,0.53525513,0.5512311
-0.74520415,0.44538778,-0.6717702,0.7886211,-0.4990117,0.7531886,0.592243,-0.65231484,0.623339,0.57262063
-0.579484,0.41867608,-0.7323167,0.70384675,-0.59638095,0.52038556,0.59070057,-0.5580017,0.45558792,0.5533781
-0.012308114,-0.1457878,0.005615992,0.019562546,0.47036743,0.020278864,-0.14645827,0.25431457,0.086550474,-0.41979495
-0.24823694,0.23357241,-0.47381586,0.4905385,-0.24891204,0.037367817,0.2114837,-0.27490112,0.35493806,0.20598486
0.15359792,0.16853175,0.24242406,-0.32701385,0.23036188,-0.5975496,-0.33006284,0.13987376,-0.21251678,-0.29292548
-0.2704148,-0.2233457,-0.49429676,0.3404543,0.15847898,0.37977904,0.21531986,-0.3661906,0.20180947,0.021967897
-0.61169493,0.46603802,-0.586053,0.74200815,-0.47978026,0.6214199,0.5660997,-0.58389413,0.5450624,0.58782744
-0.101858184,0.10161022,-0.62883925,0.64252007,-0.25329366,0.47412276,0.2660381,-0.37288523,0.38347924,0.40095398
-0.5168448,0.4377639,-0.60209787,0.5523288,-0.41046458,0.4359608,0.4366128,-0.459989,0.44071847,0.47624794
-0.7937855,0.60703844,-0.48969677,0.7679404,-0.43149054,0.7740992,0.3749384,-0.4789069,0.6484379,0.33955386
-0.6033314,0.26812536,-0.32006264,0.5875157,-0.4096739,0.35739657,0.36174473,-0.4794299,0.30601826,0.3919226
-0.5288497,0.330152,-0.7296395,0.7523178,-0.3610553,0.58076245,0.45406678,-0.584253,0.6011794,0.42811495
-0.32965362,0.13025843,-0.5791833,0.65280837,-0.15640873,0.27637565,0.36732566,-0.20883793,0.41258878,0.3917475
-0.8242983,0.49801156,-0.7080953,0.70403105,-0.52734727,0.7761788,0.6726402,-0.46511307,0.786504,0.6450228
-0.69352394,0.20548129,-0.42033663,0.7427547,-0.3151725,0.75393873,0.6848616,-0.46922362,0.48450974,0.45813978
-0.47984707,0.54722816,-0.52108926,0.46549574,-0.52106756,0.5885289,0.58091277,-0.44936493,0.60449225,0.6458705
-0.48310322,0.24486306,-0.4723667,0.48605755,-0.3234791,0.5161493,0.4025955,-0.40287742,0.39822292,0.2822057
-0.342213,0.12585238,-0.5067891,0.48909897,-0.16506447,0.3590329,0.35534534,-0.31723273,0.56951314,0.2744382
-0.4725399,0.1519944,-0.6189094,0.5819452,-0.24791984,0.6662401,0.26781058,-0.542332,0.5322383,0.5166465
-0.62531596,0.37762102,-0.8697461,0.77246475,-0.6729799,0.6202334,0.32122344,-0.5603929,0.5586235,0.413239
0.31558377,-0.5709286,0.59921646,-0.446712,0.35505316,-0.30764428,-0.45373747,0.38475856,-0.4993194,-0.48538837
0.64843524,-0.27942583,0.34552142,-0.22103469,0.1557514,-0.67605394,-0.2937531,0.33346888,-0.7405926,-0.32260376
0.016477054,0.29239327,-0.23586942,0.16229072,-0.378523,-0.3666256,0.053809844,0.17849153,0.10200269,-0.49930948
