h_2_0,h_2_1,h_2_2,h_2_3,h_2_4,h_2_5,h_2_6,h_2_7,h_2_8,h_2_9,h_2_10,h_2_11,h_2_12,h_2_13,h_2_14,h_2_15,h_2_16,h_2_17,h_2_18,h_2_19,h_2_20,h_2_21,h_2_22,h_2_23,h_2_24,h_2_25,h_2_26,h_2_27,h_2_28,h_2_29,h_2_30,h_2_31,h_2_32,h_2_33,h_2_34,h_2_35,h_2_36,h_2_37,h_2_38,h_2_39,h_2_40,h_2_41,h_2_42,h_2_43,h_2_44,h_2_45,h_2_46,h_2_47,h_2_48,h_2_49
-0.84762955,-0.5776491,0.94602996,0.44585142,0.52201945,-0.9024977,-0.9482486,-0.81362957,0.87850606,0.89802575,-0.94647485,0.93956745,0.8224706,0.8665032,-0.7566061,-0.8902821,0.9428048,-0.84002304,0.9665341,-0.2285657,-0.94378597,-0.7947242,-0.91217816,0.94877917,0.5921023,-0.919965,0.8655942,0.9677949,-0.71961415,-0.7523502,0.88021713,0.8297352,0.77478826,-0.77692664,0.9762749,0.07764631,0.9870725,-0.024942013,-0.9620526,-0.76566774,-0.7836034,0.97967553,-0.56378037,-0.21442726,0.9530965,0.07197041,-0.92747176,0.8370607,0.95876485,0.23986347
-0.4512877,-0.17044774,0.45466483,0.30510634,0.04363403,-0.31266803,-0.530092,-0.42270795,0.55917394,0.684749,-0.59420645,0.51374817,0.6107908,0.59523994,-0.31326517,-0.5856121,0.73469317,-0.24589162,0.6477334,-0.1160204,-0.45392308,-0.5660065,-0.70276576,0.7616119,0.44141635,-0.49988434,0.7275085,0.6097414,-0.26430613,-0.27379322,0.7012745,0.36635253,0.4356158,-0.2983817,0.63089013,0.09079034,0.7994111,-0.21177429,-0.69310975,-0.5744252,-0.24053387,0.73668253,-0.19971281,-0.14912164,0.6586418,0.11765047,-0.3745029,0.5251901,0.7089057,0.2600617
-0.4072847,-0.26123643,0.505017,0.029309176,0.12372067,-0.50214434,-0.66636676,-0.48835385,0.616395,0.58397716,-0.6663989,0.5692293,0.4490636,0.5659148,-0.41046098,-0.6219769,0.7739962,-0.3935848,0.7210468,-0.058003962,-0.4501683,-0.57177496,-0.7616187,0.72608,0.30383855,-0.4367934,0.6558906,0.6510021,-0.37474173,-0.4243357,0.64984024,0.38912657,0.4661921,-0.34292087,0.6426584,0.0074861865,0.80437803,-0.26306587,-0.69689864,-0.59682804,-0.13763024,0.71097666,-0.2882862,-0.19369134,0.5403019,0.12215682,-0.52596563,0.5155976,0.69757444,0.17744464
-0.60895395,-0.29567972,0.7157474,0.1308922,0.27669364,-0.68738455,-0.77599955,-0.6592622,0.76970005,0.70281446,-0.75263435,0.7420235,0.61615324,0.59196764,-0.5415183,-0.63047826,0.77544975,-0.50322545,0.8020505,-0.17288662,-0.71660113,-0.60341066,-0.7338544,0.8344339,0.3206083,-0.67357445,0.62371933,0.8867567,-0.34553534,-0.46045443,0.66873616,0.66782564,0.4044103,-0.53002435,0.8702152,0.039991543,0.9251413,-0.01754115,-0.8282573,-0.62111664,-0.43600607,0.8985575,-0.27824292,-0.0928084,0.7819097,0.095261686,-0.6575574,0.6806953,0.7991601,0.2752121
-0.5006496,-0.33835468,0.61108613,0.29490224,0.12780096,-0.5202547,-0.70284617,-0.5729867,0.76621276,0.79949415,-0.73309267,0.6571952,0.6797541,0.72018933,-0.48924956,-0.7456779,0.8563973,-0.35557038,0.7939554,-0.15662079,-0.5962157,-0.73929596,-0.85907304,0.87641674,0.46127218,-0.5411992,0.80197996,0.8069977,-0.44163305,-0.3680819,0.80204785,0.49675998,0.51902944,-0.34286523,0.8088085,0.018069714,0.92095834,-0.2542381,-0.8047115,-0.72443867,-0.27166933,0.8539353,-0.33522016,-0.2749466,0.7558826,0.11724809,-0.5155681,0.6737419,0.8080511,0.33522627
0.17240527,0.29221407,-0.43910477,-0.052294962,-0.03499936,0.13658006,0.3541849,0.17532064,-0.19931479,-0.29487634,0.12926127,-0.28619274,-0.2929535,-0.19195172,0.1016167,0.38821733,-0.4010082,0.09251582,-0.4071601,0.19091795,0.312733,0.32736754,0.41749254,-0.40091774,-0.22275208,0.36195126,-0.29679883,-0.24199966,0.26023293,0.060329836,-0.21563922,-0.21292745,-0.17182678,0.043332633,-0.4074849,-0.001203723,-0.4393262,-0.006584551,0.28117293,0.0990106,0.25677517,-0.30017737,0.21889924,0.2482494,-0.33240277,0.123322405,0.28609753,0.011484764,-0.3440661,-0.18245003
-0.3246849,-0.3555534,0.50372905,0.10393724,0.056371327,-0.39164895,-0.6224151,-0.47430578,0.67452216,0.66292375,-0.563256,0.51484394,0.56106764,0.575175,-0.40016147,-0.6803481,0.7919426,-0.22973107,0.7106386,-0.14074892,-0.44592518,-0.68461,-0.82055897,0.792054,0.3615881,-0.38402122,0.69541466,0.67228407,-0.3969257,-0.2794164,0.6675496,0.41623026,0.41885614,-0.24382864,0.7003847,0.015084672,0.8472924,-0.27795866,-0.6828315,-0.63759595,-0.09858858,0.71943533,-0.29465285,-0.33216006,0.54813474,0.07532929,-0.41622263,0.52321434,0.70123637,0.3214832
-0.6575174,-0.188515,0.765397,0.35481748,0.2933379,-0.62360877,-0.7608858,-0.61087394,0.6680004,0.76846564,-0.77341354,0.76314396,0.63718957,0.68477297,-0.44725308,-0.6738214,0.8402358,-0.5351477,0.8172508,-0.29418173,-0.6979203,-0.6176622,-0.7404569,0.8218512,0.5112799,-0.7606298,0.7341477,0.78012484,-0.37075794,-0.51903546,0.76432806,0.5287099,0.50746506,-0.45838454,0.7866048,-0.028594704,0.885049,-0.008588595,-0.76988196,-0.5620188,-0.58710134,0.8584314,-0.48116452,-0.1090087,0.85191023,-0.02295953,-0.67278934,0.5285962,0.7720326,0.22727813
-0.786828,-0.5626227,0.9090653,0.28226626,0.3929121,-0.8547261,-0.93622243,-0.7954388,0.8730116,0.8722579,-0.9216788,0.902571,0.79687506,0.8477126,-0.7131141,-0.88689804,0.9435752,-0.75690705,0.9557613,-0.20280078,-0.896765,-0.81494415,-0.9256799,0.9429358,0.55017585,-0.8761241,0.8678251,0.9498585,-0.6831145,-0.69008124,0.87651813,0.76205087,0.7601564,-0.6756807,0.9569168,0.045979813,0.98151755,-0.14309087,-0.94535184,-0.7831719,-0.6620431,0.96386266,-0.5465184,-0.3031223,0.91251993,0.06536372,-0.88851744,0.7775959,0.94362605,0.3054626
-0.33308443,-0.37777036,0.44262087,0.16764513,0.1709361,-0.40275866,-0.37385276,-0.18889348,0.19608302,0.4771364,-0.5006427,0.50974035,0.10860342,0.28911427,-0.17880669,-0.39447328,0.52125835,-0.41617832,0.4223851,-0.18170668,-0.25153345,-0.27239835,-0.52551,0.48595616,0.20072295,-0.2649465,0.44205225,0.28000838,-0.4479062,-0.35617,0.35763702,0.2279693,0.20229776,-0.17064197,0.3927942,-0.117156304,0.43083826,-0.005163665,-0.43989486,-0.19372976,-0.3529749,0.42118683,-0.25973302,-0.14112338,0.5836738,0.123330295,-0.4453371,0.27135757,0.44545662,0.04986607
-0.7607626,-0.4424953,0.9077984,0.32663795,0.4575903,-0.83858037,-0.9107066,-0.75871783,0.826238,0.812677,-0.8847104,0.8847911,0.7519148,0.77910227,-0.67481333,-0.81551814,0.8925488,-0.73962146,0.9342894,-0.2318297,-0.90211153,-0.7248597,-0.83677673,0.8952346,0.4969281,-0.8765694,0.7487522,0.93906707,-0.5776937,-0.6535898,0.7899267,0.7607098,0.6705289,-0.6902004,0.94853884,0.052815773,0.96887285,0.031905558,-0.9105907,-0.6702815,-0.70289016,0.9531419,-0.52381843,-0.18173681,0.9008692,-0.0307423,-0.87089694,0.72114956,0.904449,0.23035109
-0.301294,-0.2081131,0.44796598,0.21552393,0.061081704,-0.36890575,-0.59812963,-0.50274205,0.7241205,0.6795865,-0.57867193,0.44573775,0.61960423,0.6594324,-0.4171323,-0.6680243,0.77008575,-0.15178254,0.69822013,-0.085196935,-0.4769277,-0.7022809,-0.7795606,0.7813118,0.3456705,-0.40459627,0.6799045,0.7292734,-0.2967962,-0.20555055,0.71835417,0.3158265,0.47153658,-0.17622057,0.6813862,0.0016676567,0.8617135,-0.21780139,-0.64219165,-0.6702217,-0.11608196,0.73008543,-0.30632883,-0.26713207,0.5413685,0.005529481,-0.33931515,0.5209325,0.65398055,0.30471423
0.1179692,0.0024594902,-0.18770652,0.021871272,-0.043523606,0.13399893,0.2167169,0.26322147,-0.3077211,-0.14854068,0.10782116,-0.13534942,-0.27043384,-0.09215367,0.09190917,0.10182288,-0.1562284,-0.059243172,-0.1946525,0.100890025,0.158663,0.18634085,0.071758464,-0.27197617,-0.06628005,0.27542552,-0.048483454,-0.41625166,-0.05264652,-0.009431251,-0.09519059,-0.17214459,-0.021731673,0.04019076,-0.27770197,-0.023635875,-0.38519785,-0.13132927,0.17217255,0.13867347,0.15603805,-0.3540848,0.043419294,-0.000587602,-0.23478138,0.06889921,0.1113999,-0.07566779,-0.13762352,-0.1719736
-0.6440209,-0.08201456,0.5885399,0.11989936,0.20072748,-0.6098935,-0.7088129,-0.587562,0.6366321,0.6083835,-0.733653,0.6758283,0.5236372,0.54873294,-0.44031453,-0.47387558,0.6719847,-0.49474654,0.7154272,-0.069071926,-0.6358786,-0.38739735,-0.5532906,0.74506867,0.2697645,-0.6601008,0.5950883,0.81415254,-0.1762152,-0.43802717,0.66098773,0.55732536,0.40414214,-0.5020114,0.7633246,0.06354257,0.85701394,-0.0096729,-0.7934576,-0.5136828,-0.41865495,0.8486793,-0.16579342,0.09097853,0.729855,0.13020264,-0.5817781,0.59695864,0.75418776,0.14875044
