h_3_0,h_3_1
1.0,7.214091e-11
0.99999917,8.054743e-07
0.9999995,5.078631e-07
1.0,2.0500512e-08
1.0,2.802975e-08
0.00087697763,0.99912304
0.9999995,5.356221e-07
1.0,1.38976635e-08
1.0,1.6353646e-10
0.999931,6.896888e-05
1.0,4.5696497e-10
0.9999993,6.7773175e-07
0.015162367,0.98483765
0.9999999,1.6045684e-07
0.99245137,0.007548566
1.0,2.9206987e-08
1.0,3.5063812e-09
0.99992275,7.7286895e-05
1.0,1.3306901e-08
0.9999999,7.795901e-08
0.9994124,0.0005876203
0.0006484063,0.99935156
1.0,2.5695873e-10
1.0,3.036484e-08
0.99994266,5.738114e-05
0.0044338745,0.99556607
0.99481165,0.005188376
1.0,7.174014e-10
0.9999951,4.8783086e-06
1.0,2.6851726e-08
1.0,3.202501e-09
0.9999981,1.9457405e-06
6.2936347e-06,0.9999937
0.99999964,4.0738814e-07
0.9999999,1.3984646e-07
1.0,4.9853433e-08
1.0,8.026554e-09
0.99995136,4.8639107e-05
0.0001083091,0.99989164
1.0,4.670647e-08
0.9999993,6.882666e-07
1.0,1.2584545e-09
2.7573572e-06,0.99999726
1.0,6.00448e-10
1.0,1.115274e-08
1.0,1.2535763e-10
1.0,4.7383525e-10
1.0,1.6418914e-09
1.0,1.5938605e-09
1.0,3.5640366e-10
1.0,6.333038e-10
0.00030271878,0.9996973
0.9999988,1.1338603e-06
2.9676876e-05,0.9999703
0.999561,0.0004390244
1.0,7.154119e-10
0.9999999,1.0248104e-07
1.0,4.2924797e-09
1.0,1.0564918e-09
1.0,2.6206603e-08
1.0,1.9184565e-09
0.9999999,1.6331569e-07
1.0,2.4166172e-10
1.0,4.1957726e-09
1.0,1.2508445e-09
1.0,4.816952e-08
0.99999976,2.7142408e-07
1.0,1.172517e-08
1.0,5.241208e-10
1.0888072e-08,1.0
1.5271117e-07,0.9999999
0.9251326,0.07486749
1.0,1.4659259e-10
2.4645099e-06,0.9999975
3.1308526e-05,0.99996865
1.0,5.5796123e-09
0.99951327,0.0004867335
0.89793956,0.10206045
0.00036097594,0.99963903
3.8081401e-07,0.99999964
0.012660365,0.9873396
1.0,1.172011e-09
1.2776699e-05,0.99998724
4.1941046e-05,0.99995804
0.99725074,0.0027492635
1.0,2.2651165e-09
0.999959,4.098183e-05
0.96719164,0.03280833
0.9999622,3.7785077e-05
0.99999976,2.1929002e-07
0.9999993,7.2220445e-07
1.0,3.4026522e-09
1.0,7.135459e-11
1.0,1.3056736e-09
1.0,5.127284e-09
1.0,1.3119851e-08
1.0,5.123647e-09
6.0525886e-06,0.9999939
1.0,1.6350964e-10
1.0,1.9393942e-09
1.0,3.6370698e-10
0.99999654,3.4649388e-06
0.0011990622,0.9988009
0.99999857,1.4703622e-06
0.00033488945,0.99966514
0.9998946,0.00010540565
1.0,4.2745296e-09
0.99992967,7.031821e-05
1.0,3.929641e-10
0.99999833,1.6443482e-06
0.99999964,3.00248e-07
1.0,5.098418e-09
1.0,1.655679e-08
1.0,7.032053e-09
1.4776213e-06,0.99999857
0.009460348,0.99053967
1.0,4.1303707e-08
1.0,3.0804042e-08
2.7884819e-06,0.99999726
1.0,8.080347e-09
0.9999999,7.700345e-08
0.0019719903,0.998028
1.0,5.374621e-08
0.9978683,0.0021317056
1.0,4.8490474e-09
1.0,1.4994025e-09
1.0,3.7689027e-08
0.9999889,1.1067616e-05
0.9999999,1.6046174e-07
1.0,4.299434e-10
1.0,8.983932e-09
1.0,2.1319668e-09
3.4002213e-08,1.0
1.0,2.2202239e-10
1.0,1.1552099e-10
1.0,2.8113784e-10
1.0,2.501113e-09
0.014452411,0.98554766
1.0,7.0166055e-09
1.446581e-05,0.9999856
1.0,2.6929198e-10
1.0,1.2549214e-09
0.999992,8.038138e-06
6.60723e-06,0.99999344
1.0,3.7152514e-08
1.0,2.277941e-09
0.99718386,0.002816076
1.0,2.9871337e-08
1.6668472e-06,0.99999833
0.9996153,0.00038465034
0.9990446,0.0009554356
0.9999999,1.2058186e-07
0.0017706039,0.99822944
0.00040352487,0.99959654
0.9449999,0.055000067
0.0029133803,0.9970866
0.00019886093,0.9998012
0.9999999,1.64225e-07
0.0005635034,0.99943644
1.0,1.4071692e-10
0.9999999,1.460522e-07
1.0,4.8895683e-09
0.9999087,9.132777e-05
0.9999995,4.6728036e-07
1.0,3.8080143e-09
0.9999999,6.4227095e-08
1.0,4.0397766e-10
1.3160851e-06,0.9999987
1.0,5.840996e-09
2.6300527e-06,0.9999974
0.0018530029,0.998147
0.9872092,0.012790741
1.0,8.350113e-10
0.98865896,0.0113410745
1.0,6.332096e-10
1.0,1.1157409e-10
1.0,1.8498937e-10
0.99996376,3.6266953e-05
0.0011414966,0.99885845
0.99822634,0.0017736768
0.99999976,1.8132943e-07
0.9904855,0.009514506
0.9999958,4.192018e-06
3.4491503e-09,1.0
0.99999976,2.7152117e-07
1.0,1.5028145e-10
0.99638915,0.003610918
1.0,2.3063329e-08
0.9999981,1.9587321e-06
1.0,7.716647e-09
1.0,1.3192012e-09
0.9999999,1.210253e-07
0.9999993,6.580778e-07
4.5349105e-05,0.9999547
1.3822554e-06,0.99999857
2.1914459e-05,0.99997807
0.99999905,9.650033e-07
9.9294675e-06,0.9999901
0.0078943595,0.9921056
1.0,7.5469364e-10
1.0,9.675517e-10
1.0,6.1676125e-10
0.9999999,8.589913e-08
0.0005080361,0.99949193
1.0,2.6041674e-08
0.003726645,0.9962734
0.9999987,1.2527e-06
0.9999999,1.1651194e-07
1.0,4.953137e-08
2.0738247e-05,0.99997926
1.0,1.4304943e-09
4.3812346e-05,0.99995613
0.007259595,0.99274045
0.0001876859,0.9998123
0.9999052,9.481965e-05
